noncode,lncrna_id,lncrna_source,lncrna_name,lambda.z,r.squared,adj.r.squared,lambda.z.time.first,lambda.z.n.points,clast.pred,half.life,span.ratio,tmax,tlast
NONHSAT000077.2,ENST00000458203,lncipedia,lnc-OR4F29-5-1,0.084588948,0.997014203,0.995521305,0,4,0.301429389,8.194299621,2.928865322,0,24
NONHSAT000102.2,NONHSAT000102.2,lncipedia,lnc-OR4F16-3-7_dup1,0.071317221,0.976545713,0.96481857,0,4,0.171953985,9.719211819,2.469336037,0,24
NONHSAT000136.2,ENST00000586288,lncipedia,lnc-AL669831.1-1-19_dup1,0.094983933,0.907697305,0.861545957,0,4,0.066581418,7.297520351,3.288788362,0,24
NONHSAT000151.2,NONHSAT000151.2,lncipedia,lnc-NOC2L-5-4_dup1,0.096290663,0.953590088,0.907180175,6,3,0.145167651,7.19848798,2.500525117,0,24
NONHSAT000175.2,NONHSAT000175.2,lncipedia,lnc-AL669831.1-3-23_dup1,0.042155907,0.893786187,0.787572374,6,3,0.013608612,16.44246875,1.094726119,0,24
NONHSAT000180.2,NONHSAT000180.2,lncipedia,lnc-AL669831.1-3-27_dup1,0.02862692,0.988893116,0.977786231,6,3,0.080852575,24.21312488,0.74339847,0,24
NONHSAT000245.2,NONHSAT000245.2,lncipedia,lnc-RNF223-4-2_dup1,0.063840169,0.910453481,0.820906963,6,3,0.859575777,10.85753984,1.65783412,6,24
NONHSAT000416.2,ENST00000602865,lncipedia,"lnc-PEX10-6-1_dup1,lnc-PEX10-6-1",0.023216988,0.998848719,0.997697439,6,3,1.481870698,29.85517236,0.602910604,6,24
NONHSAT000556.2,ENST00000442673,lncipedia,lnc-DFFB-1-2_dup1,0.05959928,0.965530924,0.931061847,0,3,0.076764075,11.6301268,2.063606047,0,24
NONHSAT000730.2,NONHSAT000730.2,lncipedia,lnc-TNFRSF9-1-1_dup1,0.066203627,0.934010056,0.868020112,6,3,0.699965862,10.46992763,1.71920959,0,24
NONHSAT000774.2,ENST00000424862,lncipedia,"lnc-ENO1-1-1_dup1,lnc-ENO1-1-1",0.206139982,0.939863099,0.879726198,0,3,0.135711598,3.362507237,3.568765554,0,12
NONHSAT000791.2,NONHSAT000791.2,lncipedia,lnc-H6PD-1-2_dup1,0.089617965,0.852779778,0.705559556,0,3,0.090437991,7.734466878,3.102993442,0,24
NONHSAT000891.2,NONHSAT000891.2,lncipedia,"lnc-MTOR-4-1_dup1,lnc-MTOR-4-1",0.085772156,0.931603852,0.863207704,6,3,0.097733833,8.081261003,2.227375158,6,24
NONHSAT001112.2,NONHSAT001112.2,lncipedia,lnc-SPATA21-3-1_dup1,0.094444923,0.969482957,0.938965914,6,3,0.68427199,7.339168235,2.452594003,6,24
NONHSAT001116.2,ENST00000457898,lncipedia,lnc-NECAP2-1-1_dup1,0.043352939,0.970136545,0.940273089,6,3,0.571650109,15.98847024,1.125811271,0,24
