noncode,lncrna_id,lncrna_source,lncrna_name,lambda.z,r.squared,adj.r.squared,lambda.z.time.first,lambda.z.n.points,clast.pred,half.life,span.ratio,tmax,tlast
NONHSAT000042.2,ENST00000450734,lncipedia,lnc-FAM138A-1-11,0.075468988,0.99831281,0.996625621,6,3,0.459311252,9.184529961,1.959817223,6,24
NONHSAT000091.2,NONHSAT000091.2,lncipedia,lnc-AL669831.1-13-1,0.069552076,0.995486724,0.990973447,6,3,1.080172065,9.965873362,1.80616383,6,24
NONHSAT000197.2,NONHSAT000197.2,lncipedia,lnc-SAMD11-2-1,0.084595531,0.972429219,0.958643829,0,4,0.119357404,8.193661877,2.929093287,0,24
NONHSAT000235.2,ENST00000433695,lncipedia,lnc-AGRN-2-8_dup1,0.170480573,0.994968936,0.989937871,0,3,0.142446462,4.065842623,5.902835458,0,24
NONHSAT000308.2,ENST00000572242,lncipedia,"lnc-TMEM88B-3-8_dup1,lnc-TMEM88B-3-8",0.135192058,0.906196023,0.859294034,0,4,0.028419447,5.127129435,4.680981884,0,24
NONHSAT000357.2,NONHSAT000357.2,lncipedia,lnc-CDK11A-1-1,0.02970076,0.946688649,0.893377298,6,3,1.490477965,23.33769138,0.771284516,6,24
NONHSAT000538.2,NONHSAT000538.2,lncipedia,lnc-LRRC47-1-13,0.129588573,0.870592087,0.741184174,6,3,0.063005105,5.348829482,3.365222253,6,24
NONHSAT000540.2,NONHSAT000540.2,lncipedia,lnc-LRRC47-1-21_dup1,0.173870513,0.916074161,0.832148322,6,3,0.1186135,3.986571203,4.515158286,6,24
NONHSAT000909.2,NONHSAT000909.2,lncipedia,"lnc-C1orf187-1-1_dup1,lnc-C1orf187-1-1",0.103132324,0.999546435,0.99909287,6,3,0.01911608,6.720949856,2.678192872,6,24
NONHSAT001017.2,ENST00000310916,lncipedia,lnc-C1orf195-1-3,0.048019896,0.931091479,0.862182958,6,3,0.0416893,14.43458309,1.247005188,0,24
NONHSAT001060.2,NONHSAT001060.2,lncipedia,lnc-ZBTB17-2-2_dup1,0.022782934,0.966457108,0.932914217,6,3,2.763024332,30.4239642,0.591638877,0,24
NONHSAT001062.2,NONHSAT001062.2,lncipedia,lnc-ZBTB17-1-2,0.077272257,0.836658488,0.754987732,0,4,0.307097451,8.970194607,2.675527238,0,24
NONHSAT001084.2,ENST00000447882,lncipedia,lnc-HSPB7-3-1,0.02548351,0.963585031,0.927170063,0,3,1.48119566,27.19983108,0.882358421,0,24
NONHSAT001128.2,NONHSAT001128.2,lncipedia,lnc-SPATA21-4-3,0.081927287,0.978804307,0.968206461,0,4,0.022841948,8.460516661,2.836706192,0,24
NONHSAT001139.2,NONHSAT001139.2,lncipedia,"lnc-AL355149.1-3-1_dup1,lnc-AL355149.1-3-1",0.06696165,0.902360741,0.853541112,0,4,0.087696617,10.35140527,2.318525781,0,24
NONHSAT001180.2,NONHSAT001180.2,lncipedia,lnc-AL137798.1-3-10,0.141889463,0.900055004,0.800110007,0,3,0.021649239,4.88512089,2.456438698,0,12
NONHSAT001270.2,NONHSAT001270.2,lncipedia,"lnc-KLHDC7A-6-1_dup1,lnc-KLHDC7A-6-1",0.055399763,0.995682779,0.991365558,6,3,1.171658365,12.5117355,1.438649338,6,24
NONHSAT001461.2,NONHSAT001461.2,lncipedia,lnc-CELA3A-1-6_dup1,0.05035891,0.987943483,0.975886966,0,3,0.134242265,13.76414171,0.871830605,0,12
NONHSAT001486.2,ENST00000438551,lncipedia,lnc-EPHA8-1-1_dup1,0.081026905,0.964604368,0.929208736,6,3,0.245502559,8.554531089,2.104148061,6,24
NONHSAT001553.2,NONHSAT001553.2,lncipedia,lnc-GALE-1-3_dup1,0.083395124,0.880424512,0.760849024,6,3,0.017782619,8.311603188,2.165647179,6,24
NONHSAT001943.2,ENST00000604716,lncipedia,"lnc-DNAJC8-1-5_dup1,lnc-DNAJC8-1-5",0.05670978,0.990553906,0.981107812,6,3,0.037066489,12.22270975,1.47266853,0,24
NONHSAT001953.2,NONHSAT001953.2,lncipedia,lnc-PHACTR4-2-5,0.094559624,0.962519742,0.925039485,6,3,0.096479513,7.330265821,2.455572613,6,24
NONHSAT001955.2,ENST00000437681,lncipedia,lnc-PHACTR4-2-3,0.016056783,0.99497575,0.9899515,6,3,2.937261101,43.16849584,0.416970748,0,24
NONHSAT001974.2,ENST00000481220,lncipedia,lnc-TAF12-1-5,0.060064448,0.99914689,0.99829378,0,3,0.190651664,11.54005745,2.07971235,0,24
NONHSAT001985.2,ENST00000420776,lncipedia,lnc-GMEB1-1-1_dup1,0.050358911,0.987943484,0.975886969,0,3,0.237075281,13.76414164,0.87183061,0,12
NONHSAT002274.2,NONHSAT002274.2,lncipedia,"lnc-TRIM62-4-1_dup1,lnc-TRIM62-4-1",0.044333981,0.981292312,0.962584624,6,3,1.757235439,15.63467045,1.151287458,6,24
NONHSAT002574.2,ENST00000427240,lncipedia,lnc-PABPC4-1-6_dup1,0.050338438,0.987883087,0.975766174,0,3,0.060666365,13.76973949,0.871476182,0,12
NONHSAT002771.2,ENST00000416689,lncipedia,lnc-ZNF691-1-2_dup1,0.052354198,0.996981411,0.995472116,0,4,0.092739903,13.23957213,1.812747403,0,24
NONHSAT003082.2,NONHSAT003082.2,lncipedia,lnc-STIL-6-1,0.028346403,0.943558498,0.915337747,0,4,0.917089643,24.45273876,0.981485151,0,24
NONHSAT003403.2,NONHSAT003403.2,lncipedia,"lnc-PCSK9-6-1_dup1,lnc-PCSK9-6-1",0.056709781,0.990553907,0.981107814,6,3,0.020245526,12.22270954,1.472668555,6,24
NONHSAT003668.2,ENST00000449386,lncipedia,lnc-ITGB3BP-1-3_dup1,0.029491936,0.829020871,0.743531306,0,4,0.916302724,23.50293923,1.021148877,0,24
NONHSAT003816.2,NONHSAT003816.2,lncipedia,lnc-DIRAS3-1-1_dup1,0.05670978,0.990553907,0.981107813,6,3,0.151777516,12.2227098,1.472668524,6,24
NONHSAT003817.2,ENST00000434072,lncipedia,lnc-GADD45A-1-6_dup1,0.051876959,0.875818124,0.751636247,6,3,0.288633028,13.36136883,1.347167362,6,24
NONHSAT004237.2,ENST00000624216,lncipedia,"lnc-SYDE2-1-1_dup1,lnc-SYDE2-1-1",0.063196192,0.948753211,0.897506422,0,3,0.092420105,10.96817956,1.094073992,0,12
NONHSAT004366.2,NONHSAT004366.2,lncipedia,lnc-GBP5-2-6_dup1,0.051936539,0.929844007,0.89476601,0,4,0.096036831,13.3460411,1.798286086,0,24
NONHSAT004628.2,NONHSAT004628.2,lncipedia,lnc-SLC44A3-1-2_dup1,0.100337402,0.906392997,0.812785994,6,3,0.068489256,6.908163504,2.605612908,6,24
NONHSAT004632.2,NONHSAT004632.2,lncipedia,lnc-SLC44A3-1-13_dup1,0.070760131,0.990737413,0.981474825,6,3,0.626355447,9.79573064,1.837535214,6,24
NONHSAT004992.2,NONHSAT004992.2,lncipedia,"lnc-HENMT1-2-1_dup1,lnc-HENMT1-2-1",0.089278657,0.914170336,0.828340671,6,3,0.043780644,7.763862102,2.318433759,6,24
NONHSAT005032.2,NONHSAT005032.2,lncipedia,"lnc-SORT1-1-1_dup1,lnc-SORT1-1-1",0.066258341,0.998303509,0.996607018,6,3,0.103636728,10.46128179,1.720630451,6,24
NONHSAT005088.2,ENST00000554749,lncipedia,lnc-FAM40A-1-1,0.041097311,0.932412993,0.864825986,6,3,0.941190007,16.86599838,1.067235962,6,24
NONHSAT005350.2,NONHSAT005350.2,lncipedia,lnc-SYT6-2-2_dup1,0.108123882,0.885387268,0.770774536,0,3,0.154403717,6.410676071,1.871877454,0,12
NONHSAT005478.2,NONHSAT005478.2,lncipedia,lnc-VTCN1-3-1,0.11271798,0.965753029,0.931506058,0,3,0.046321995,6.149393189,3.90282411,0,24
NONHSAT006085.2,NONHSAT006085.2,lncipedia,lnc-GPR89B-11-2_dup1,0.016832714,0.942620091,0.885240181,6,3,0.276245719,41.17857571,0.43712051,0,24
NONHSAT006253.2,ENST00000369385,lncipedia,lnc-HIST2H4A-1-1,0.063542687,0.997073706,0.994147412,6,3,1.133942465,10.90837064,1.650108949,0,24
NONHSAT006254.2,ENST00000564237,lncipedia,"lnc-HIST2H2AA3-1-1_dup1,lnc-HIST2H2AA3-1-1",0.031019685,0.999581243,0.999162485,6,3,0.670255766,22.34539694,0.80553503,6,24
NONHSAT006398.2,ENST00000434112,lncipedia,lnc-CGN-1-1_dup1,0.021713989,0.915936547,0.831873095,6,3,0.39428344,31.92168778,0.563879959,0,24
NONHSAT006476.2,ENST00000382265,lncipedia,lnc-LCE5A-2-2,0.050338438,0.987883092,0.975766183,0,3,0.027492617,13.76973962,0.871476174,0,12
NONHSAT006531.2,ENST00000472233,lncipedia,lnc-S100A14-2-4_dup1,0.014086045,0.890443332,0.780886664,6,3,1.964406589,49.20807589,0.365793616,0,24
NONHSAT006664.2,NONHSAT006664.2,lncipedia,"lnc-DCST2-2-1_dup1,lnc-DCST2-2-1",0.056101375,0.930840406,0.861680813,0,3,0.109974762,12.35526194,0.971246102,0,12
NONHSAT006668.2,NONHSAT006668.2,lncipedia,lnc-DCST2-1-5,0.047527308,0.971366758,0.942733516,6,3,0.386461846,14.58418771,1.234213407,6,24
NONHSAT006903.2,ENST00000605886,lncipedia,"lnc-NES-2-1_dup1,lnc-NES-2-1",0.064870567,0.946361839,0.892723678,6,3,0.790600846,10.68507971,1.684592019,0,24
NONHSAT007118.2,NONHSAT007118.2,lncipedia,"lnc-NIT1-1-1_dup1,lnc-NIT1-1-1",0.107138949,0.955886718,0.911773435,6,3,0.020236241,6.469609666,2.782238949,6,24
NONHSAT007286.2,ENST00000602747,lncipedia,"lnc-LRRC52-7-1_dup1,lnc-LRRC52-7-1",0.081796985,0.980519447,0.961038893,6,3,0.475212831,8.473994274,2.124145877,6,24
NONHSAT007335.2,ENST00000423121,lncipedia,lnc-UCK2-1-1_dup1,0.059154699,0.975883448,0.963825172,0,4,0.064128171,11.71753372,2.048212582,0,24
NONHSAT007395.2,NONHSAT007395.2,lncipedia,lnc-CREG1-1-1_dup1,0.017843915,0.959458088,0.918916176,6,3,0.338626144,38.84501735,0.463379893,6,24
NONHSAT007664.2,ENST00000431268,lncipedia,lnc-SERPINC1-1-7_dup1,0.043193663,0.928188747,0.856377495,6,3,0.159814852,16.04742779,1.121675089,6,24
NONHSAT007682.2,ENST00000444470,lncipedia,lnc-SERPINC1-1-27_dup1,0.054532991,0.989068332,0.978136664,6,3,0.654091709,12.71060269,1.416140559,6,24
NONHSAT007684.2,ENST00000449589,lncipedia,lnc-SERPINC1-1-4,0.073824563,0.97638083,0.952761661,6,3,0.1033627,9.389113197,1.917113962,6,24
NONHSAT007698.2,ENST00000421068,lncipedia,lnc-SERPINC1-1-10,0.034252994,0.993677309,0.990515964,0,4,0.13081857,20.23610483,1.185998995,0,24
NONHSAT007800.2,NONHSAT007800.2,lncipedia,lnc-SEC16B.1-2-10,0.269171279,0.949582161,0.899164322,6,3,0.031606284,2.575115673,6.989977261,6,24
NONHSAT007807.2,NONHSAT007807.2,lncipedia,lnc-SEC16B.1-2-9,0.076479718,0.90151062,0.803021241,6,3,0.125116565,9.063150305,1.986064381,6,24
NONHSAT007812.2,ENST00000421505,lncipedia,lnc-SEC16B.1-3-4_dup1,0.131165074,0.907380358,0.861070537,0,4,0.040079764,5.284540782,4.541548829,0,24
NONHSAT007822.2,NONHSAT007822.2,lncipedia,"lnc-ANGPTL1-8-2_dup1,lnc-ANGPTL1-8-2",0.05036915,0.987973617,0.975947233,0,3,0.028328991,13.76134359,0.872007876,0,12
NONHSAT007835.2,ENST00000423212,lncipedia,"lnc-ANGPTL1-2-1_dup1,lnc-ANGPTL1-2-1",0.035165447,0.991742466,0.983484931,0,3,0.142256773,19.71102983,0.608796197,0,12
NONHSAT008249.2,NONHSAT008249.2,lncipedia,"lnc-LHX4-1-1_dup1,lnc-LHX4-1-1",0.032565803,0.992608072,0.985216144,6,3,0.051575319,21.28451051,0.84568541,6,24
NONHSAT008270.2,NONHSAT008270.2,lncipedia,"lnc-KIAA1614-1-3_dup1,lnc-KIAA1614-1-3",0.032570743,0.992587944,0.985175889,6,3,0.189292554,21.28128222,0.845813697,6,24
NONHSAT008366.2,NONHSAT008366.2,lncipedia,"lnc-ARPC5-1-1_dup1,lnc-ARPC5-1-1",0.032565803,0.99260807,0.985216141,6,3,0.216839887,21.28451088,0.845685395,6,24
NONHSAT008436.2,ENST00000569292,lncipedia,lnc-HMCN1-1-1_dup1,0.097961954,0.96061375,0.9212275,6,3,0.084078893,7.075677364,2.543926055,6,24
NONHSAT008749.2,NONHSAT008749.2,lncipedia,"lnc-PHLDA3-1-2_dup1,lnc-PHLDA3-1-2",0.051876959,0.875818123,0.751636246,6,3,0.477234393,13.36136886,1.34716736,6,24
NONHSAT008782.2,NONHSAT008782.2,lncipedia,lnc-SHISA4-1-6,0.039837274,0.977232836,0.954465673,0,3,0.016370569,17.39946329,1.379352891,0,24
NONHSAT008790.2,ENST00000504773,lncipedia,lnc-RNPEP-1-1,0.304044337,0.977299736,0.954599473,0,3,0.043390598,2.279756914,5.263719094,0,12
NONHSAT008816.2,ENST00000417053,lncipedia,lnc-LGR6-2-2,0.049134921,0.973763153,0.947526306,0,3,0.063867539,14.10701736,1.701280957,0,24
NONHSAT009251.2,NONHSAT009251.2,lncipedia,lnc-C1orf133-2-1_dup1,0.040003765,0.827328143,0.740992215,0,4,0.695602364,17.3270485,1.38511761,0,24
NONHSAT009303.2,NONHSAT009303.2,lncipedia,lnc-NEK2-2-1,0.054427989,0.918090138,0.836180277,6,3,3.768766148,12.73512379,1.413413823,0,24
NONHSAT009709.2,ENST00000435378,lncipedia,lnc-DISP1-1-5,0.077119307,0.987623323,0.975246646,6,3,0.664118539,8.987985135,2.002673539,6,24
NONHSAT009870.2,NONHSAT009870.2,lncipedia,lnc-C1orf55-2-1_dup1,0.050338438,0.987883088,0.975766176,0,3,0.137386503,13.76973952,0.87147618,0,12
NONHSAT010003.2,NONHSAT010003.2,lncipedia,"lnc-IBA57-2-1_dup1,lnc-IBA57-2-1",0.051881352,0.875646068,0.751292135,6,3,0.141526868,13.36023745,1.347281444,6,24
NONHSAT010071.2,NONHSAT010071.2,lncipedia,lnc-C1orf96-1-4_dup1,0.037453988,0.999882612,0.999765224,6,3,0.594387776,18.50663228,0.972624286,6,24
NONHSAT010074.2,ENST00000436334,lncipedia,lnc-C1orf96-1-1_dup1,0.035623201,0.822119931,0.733179896,0,4,0.402151658,19.45774537,1.233441981,0,24
NONHSAT010242.2,NONHSAT010242.2,lncipedia,"lnc-PCNXL2-3-1_dup1,lnc-PCNXL2-3-1",0.054532114,0.989050781,0.978101561,6,3,0.055289175,12.71080715,1.41611778,6,24
NONHSAT010405.2,ENST00000493812,lncipedia,"lnc-HEATR1-2-1_dup1,lnc-HEATR1-2-2_dup1,lnc-HEATR1-2-1,lnc-HEATR1-2-2",0.21963488,0.921062819,0.842125637,0,3,0.112547841,3.155906662,3.802393824,0,12
NONHSAT010771.2,NONHSAT010771.2,lncipedia,"lnc-NLRP3-1-3_dup1,lnc-NLRP3-1-3",0.042652631,0.848375493,0.772563239,0,4,1.151195317,16.25098281,1.476833757,0,24
NONHSAT011163.2,NONHSAT011163.2,lncipedia,lnc-ASB13-3-2_dup1,0.070399046,0.992011718,0.984023436,6,3,0.011094042,9.84597411,1.828158372,6,24
NONHSAT011164.2,ENST00000478294,lncipedia,lnc-ASB13-3-1,0.048019897,0.931091484,0.862182967,6,3,0.424668619,14.43458291,1.247005203,6,24
NONHSAT011546.2,NONHSAT011546.2,lncipedia,"lnc-FRMD4A-4-1_dup1,lnc-FRMD4A-4-1",0.028848608,0.950813501,0.901627001,6,3,0.777653663,24.02705793,0.749155392,6,24
NONHSAT011699.2,NONHSAT011699.2,lncipedia,lnc-MLLT10-1-4,0.052406898,0.945594067,0.918391101,0,4,0.128801122,13.22625842,1.814572136,0,24
NONHSAT011703.2,ENST00000433460,lncipedia,lnc-C10orf114-2-1_dup1,0.076479718,0.901510621,0.803021242,6,3,0.175847199,9.06315029,1.986064384,6,24
NONHSAT011933.2,NONHSAT011933.2,lncipedia,lnc-MPP7-3-3_dup1,0.02291546,0.997170031,0.994340062,6,3,2.982953357,30.24801535,0.595080364,6,24
NONHSAT012642.2,NONHSAT012642.2,lncipedia,"lnc-KIF5B-3-1_dup1,lnc-KIF5B-3-1",0.224680547,0.953437394,0.906874788,0,3,0.230278563,3.085034237,3.889746135,0,12
NONHSAT012668.2,ENST00000414157,lncipedia,lnc-C10orf68-1-2_dup1,0.025992382,0.887015228,0.774030457,6,3,1.894090665,26.66732094,0.674983439,0,24
NONHSAT012821.2,NONHSAT012821.2,lncipedia,lnc-ZNF37A-3-1_dup1,0.049134921,0.948505299,0.897010597,0,3,0.016623775,14.1070174,1.701280952,0,24
