noncode,lncrna_id,lncrna_source,lncrna_name,lambda.z,r.squared,adj.r.squared,lambda.z.time.first,lambda.z.n.points,clast.pred,half.life,span.ratio,tmax,tlast
NONHSAT000090.2,ENST00000457540,lncipedia,lnc-AL669831.1-14-1,0.206677015,0.921874983,0.882812475,0,4,0.348797217,3.353770041,7.156125705,0,24
NONHSAT002270.2,NONHSAT002270.2,lncipedia,"lnc-ZNF362-3-1_dup1,lnc-ZNF362-3-1",0.023142061,0.965296205,0.930592411,6,3,5.123034118,29.95183445,0.60096486,6,24
NONHSAT002571.2,NONHSAT002571.2,lncipedia,lnc-PABPC4-1-14_dup1,0.070399046,0.992011715,0.98402343,6,3,0.024185088,9.845974063,1.828158381,6,24
NONHSAT004238.2,NONHSAT004238.2,lncipedia,"lnc-C1orf52-2-1_dup1,lnc-C1orf52-2-1",0.11262202,0.997037746,0.994075493,0,3,0.172409858,6.154632813,1.949750759,0,12
NONHSAT004836.2,ENST00000451213,lncipedia,lnc-SLC30A7-2-7_dup1,0.046228404,0.961154301,0.922308602,6,3,0.581473314,14.99396742,1.2004828,6,24
NONHSAT005528.2,ENST00000425884,lncipedia,lnc-HAO2-2-17,0.049630061,0.867089547,0.80063432,0,4,0.562416674,13.96627699,1.718425033,0,24
NONHSAT005572.2,NONHSAT005572.2,lncipedia,"lnc-ZNF697-2-1_dup1,lnc-ZNF697-2-1",0.183041898,0.837942879,0.756914318,0,4,0.038506187,3.786822505,6.337767341,0,24
NONHSAT006310.2,NONHSAT006310.2,lncipedia,lnc-MCL1-2-1,0.122430569,0.995558982,0.991117963,0,3,0.04602794,5.66155322,2.119559692,0,12
NONHSAT007713.2,NONHSAT007713.2,lncipedia,"lnc-RC3H1-2-1_dup1,lnc-RC3H1-2-1",0.016192678,0.917190787,0.834381574,6,3,7.566082897,42.80620933,0.420499742,6,24
NONHSAT007718.2,ENST00000421851,lncipedia,lnc-SERPINC1-3-1_dup1,0.084127197,0.918361127,0.836722254,0,3,0.102899192,8.239275839,1.456438677,0,12
NONHSAT007719.2,NONHSAT007719.2,lncipedia,lnc-SERPINC1-3-2_dup1,0.103410995,0.897713586,0.795427172,6,3,0.039739566,6.70283833,2.685429532,6,24
