RBP,have_motif,have_mean,no_motif,no_mean,D,p,fdr
SF1,7441,4.223273279,5024,4.062854099,0.068299043,1.41E-12,2.53E-10
RBMS3,6482,4.315234207,5983,3.988936543,0.064282128,1.36E-11,2.44E-09
SRSF7,7473,4.288458035,4992,3.964244505,0.065102317,1.92E-11,3.44E-09
ACO1,9267,4.218301966,3198,3.985663271,0.070852088,8.59E-11,1.54E-08
TRA2A,9241,4.258179769,3224,3.873237039,0.069563458,1.80E-10,3.22E-08
RBM5,10010,4.181818574,2455,4.064012845,0.075811765,2.88E-10,5.15E-08
SAMD4A,6704,4.216487139,5761,4.091273335,0.060361179,3.13E-10,5.60E-08
ZNF638,5798,4.296380803,6667,4.038808995,0.060185021,3.50E-10,6.27E-08
PHAX,6532,4.245746029,5933,4.062690443,0.059774906,4.49E-10,8.03E-08
CPEB1,9147,4.20295719,3318,4.036379158,0.067230217,5.52E-10,9.89E-08
CELF6,6261,4.24622831,6204,4.070199873,0.059356191,5.82E-10,1.04E-07
SART3,6821,4.233932304,5644,4.067594475,0.059042581,8.90E-10,1.59E-07
ENOX1,7031,4.203402214,5434,4.100668844,0.058733532,1.31E-09,2.34E-07
DAZAP1*,7871,4.192479336,4594,4.100598739,0.060084503,1.60E-09,2.87E-07
YBX1*,7871,4.192479336,4594,4.100598739,0.060084503,1.60E-09,2.87E-07
HNRNPA2B1*,7871,4.192479336,4594,4.100598739,0.060084503,1.60E-09,2.87E-07
RBM28,3728,4.336744513,8737,4.082610955,0.063253756,1.66E-09,2.97E-07
HNRNPA1*,9915,4.195896548,2550,4.013663211,0.071602148,1.86E-09,3.32E-07
CELF4,7092,4.201235881,5373,4.102361919,0.058230852,1.98E-09,3.55E-07
CELF5,5484,4.191970002,6981,4.132415409,0.058037806,2.07E-09,3.70E-07
RBMY1A1,9777,4.198852295,2688,4.01226807,0.069861368,2.31E-09,4.13E-07
IGHMBP2,4615,4.23559249,7850,4.113362563,0.058578714,4.35E-09,7.79E-07
DDX19B,6624,4.290217597,5841,4.009374097,0.056681405,4.36E-09,7.80E-07
EIF4A3,6624,4.290217597,5841,4.009374097,0.056681405,4.36E-09,7.80E-07
RALY,6082,4.305593571,6383,4.018570479,0.056512765,4.59E-09,8.21E-07
CPEB2,5947,4.272651884,6518,4.054571142,0.056015077,6.70E-09,1.20E-06
NONO,8827,4.216276655,3638,4.018713971,0.061429296,7.19E-09,1.29E-06
SRSF2*,11581,4.194956989,884,3.682532318,0.107760664,1.04E-08,1.86E-06
PABPC5,5267,4.333286231,7198,4.030805346,0.055915238,1.10E-08,1.97E-06
DDX58,8086,4.233716245,4379,4.019941973,0.05784237,1.11E-08,1.99E-06
LIN28A,7710,4.171929109,4755,4.137030922,0.05654298,1.36E-08,2.43E-06
SF1*,5337,4.253651375,7128,4.087460448,0.055396811,1.47E-08,2.62E-06
ESRP2,7116,4.176182545,5349,4.135247798,0.054572225,2.52E-08,4.52E-06
HNRNPF*,10279,4.19655417,2186,3.980226507,0.070662505,3.04E-08,5.44E-06
EIF4B,4415,4.342956846,8050,4.057515651,0.056138658,3.13E-08,5.61E-06
RBM3,5247,4.297532529,7218,4.05763401,0.053927503,4.23E-08,7.57E-06
PABPC4,5326,4.237443586,7139,4.099808226,0.053645972,4.74E-08,8.49E-06
IFIH1,8386,4.24398432,4079,3.983109328,0.056441096,5.10E-08,9.14E-06
DHX9,7397,4.24529896,5068,4.032099261,0.05328415,7.66E-08,1.37E-05
FMR1,10368,4.216918068,2097,3.870361912,0.069905586,7.90E-08,1.41E-05
MSI1,4890,4.200607533,7575,4.131509521,0.053134099,1.03E-07,1.85E-05
ADAR,7052,4.234033051,5413,4.060364749,0.052019052,1.27E-07,2.27E-05
SNRPA,4468,4.239482046,7997,4.113436248,0.053714609,1.31E-07,2.35E-05
PABPC3,5812,4.273005494,6653,4.058687439,0.051357537,1.56E-07,2.80E-05
FXR2,8883,4.194570676,3582,4.069453977,0.056545533,1.63E-07,2.91E-05
HNRNPA2B1,9411,4.224793371,3054,3.954690586,0.059096814,2.03E-07,3.63E-05
SRSF10,10661,4.172112416,1804,4.078860864,0.072229146,2.04E-07,3.65E-05
CMTR1,10394,4.192479897,2071,3.9886622,0.067966123,2.36E-07,4.22E-05
SNRNP70,4404,4.270892911,8061,4.097276154,0.052726114,2.65E-07,4.75E-05
SRP14,11841,4.182194079,624,3.711210528,0.115266869,2.89E-07,5.17E-05
SRSF11,5246,4.217594604,7219,4.115757608,0.050778786,3.14E-07,5.62E-05
SYNCRIP,6735,4.252527761,5730,4.04823403,0.050266056,3.21E-07,5.74E-05
CPEB4,9125,4.238602955,3340,3.940090866,0.056206382,3.91E-07,6.99E-05
G3BP2,5404,4.27102695,7061,4.072585444,0.050193927,4.00E-07,7.16E-05
HNRNPU,7070,4.233039732,5395,4.061087036,0.050013043,4.50E-07,8.05E-05
ZCRB1,4646,4.291237812,7819,4.079813862,0.051191654,4.65E-07,8.32E-05
RBM24,7878,4.158295035,4587,4.159168776,0.051174957,5.09E-07,9.11E-05
SRSF1*,5923,4.269135885,6542,4.058554511,0.04930009,5.48E-07,9.80E-05
HNRNPC*,5923,4.269135885,6542,4.058554511,0.04930009,5.48E-07,9.80E-05
KHDRBS3,9084,4.229229692,3381,3.968894688,0.055259362,5.83E-07,0.000104406
HNRNPDL,9530,4.227289845,2935,3.935633131,0.057730542,6.39E-07,0.000114303
HNRNPM,3063,4.20031274,9402,4.14503271,0.056526202,7.75E-07,0.00013866
HNRNPH3*,11752,4.166619614,713,4.026706528,0.104660411,8.04E-07,0.00014394
PIWIL1,11326,4.158100344,1139,4.163749745,0.083720598,1.00E-06,0.000179147
HNRNPCL1,7353,4.242300363,5112,4.038247436,0.048418725,1.45E-06,0.000259046
