RBP,have_motif,have_mean,no_motif,no_mean,D,p,fdr
HNRNPK,22849,6.307066875,1042,8.055334981,0.118314438,1.53E-12,2.74E-10
PCBP1,19169,6.194748545,4722,7.148813051,0.058956593,7.29E-12,1.30E-09
PTBP2,7688,6.016059291,16203,6.557573675,0.044984909,1.37E-09,2.45E-07
SF1,15838,6.168102651,8053,6.806583918,0.042302866,1.01E-08,1.80E-06
RBM24,15884,6.196626575,8007,6.753667236,0.04185098,1.59E-08,2.85E-06
AGO1,14965,6.16085314,8926,6.756292051,0.040472268,2.22E-08,3.97E-06
ZNF346,21656,6.301334184,2235,7.177689933,0.062647321,2.48E-07,4.44E-05
HNRNPLL,11990,6.040770629,11901,6.728425363,0.03635864,2.77E-07,4.96E-05
SRSF7,19039,6.265713669,4852,6.844787208,0.044558373,4.29E-07,7.69E-05
NONO,17171,6.187619157,6720,6.8833663,0.036351261,5.72E-06,0.001024204
HNRNPF*,20624,6.245008225,3267,7.256437233,0.04752541,5.86E-06,0.001049472
PPIE,20062,6.440954876,3829,6.081324981,0.042092092,2.25E-05,0.004034212
CELF6,12862,6.193357124,11029,6.604848196,0.030948906,2.30E-05,0.004111652
PCBP2,23313,6.340030243,578,8.129247438,0.099381859,2.90E-05,0.005191317
ACO1,20260,6.264530098,3631,7.046116855,0.041975021,3.88E-05,0.006944512
PUM1,7043,6.063019994,16848,6.517211554,0.032517857,5.49E-05,0.009820873
NOVA1 ,22436,6.323569837,1455,7.304616645,0.06121268,7.14E-05,0.012789141
KHDRBS3,12036,6.491254256,11855,6.273732084,0.029263755,7.22E-05,0.012924685
ESRP2,14830,6.20137071,9061,6.681106109,0.029791249,9.23E-05,0.016520715
IGF2BP2,20476,6.311160911,3415,6.815958791,0.041226038,9.56E-05,0.01710544
ZNF638,9204,6.558860244,14687,6.273308395,0.029462562,0.000108376,0.019399312
SUPV3L1,6593,5.982209348,17298,6.536196315,0.031845932,0.000124745,0.022329278
RBFOX1,12573,6.140284716,11318,6.653298317,0.027732279,0.000209971,0.037584898
RBM46,19117,6.440891343,4774,6.152767128,0.034541426,0.000219907,0.039363272
RBM6,12396,6.161344198,11495,6.62268877,0.02738319,0.000260915,0.046703782
