RBP,have_motif,have_mean,no_motif,no_mean,D,p,fdr
SAMD4A,10759,6.094232111,13132,6.620163478,0.03168518,1.39E-05,0.00249406
SUPV3L1,3695,5.890240498,20196,6.473528988,0.042909688,2.02E-05,0.003618099
ZC3H10,3068,5.810623451,20823,6.467696169,0.044120883,6.02E-05,0.010778159
DHX58,2198,5.787090507,21693,6.443728629,0.049415101,0.000116962,0.020936243
SYNCRIP,20881,6.436682127,3010,6.013113149,0.042994466,0.00011941,0.021374354
ERI1,20765,6.310637039,3126,6.866107473,0.041901306,0.00014376,0.025733048
RBFOX1,10718,6.192673167,13173,6.53843157,0.027156112,0.000327804,0.058676878
HNRNPU,21039,6.429989635,2852,6.039017587,0.041360691,0.00037079,0.066371481
PPIE,23707,6.395310195,184,4.838104804,0.150976092,0.000485485,0.086901851
FXR2,15153,6.240008244,8738,6.631836251,0.026894283,0.000659441,0.118039903
PTBP2,8760,6.135195386,15131,6.526965733,0.026776472,0.000701371,0.125545327
ESRP2,13016,6.214546816,10875,6.585313905,0.025824125,0.000739781,0.132420849
RBM4,6116,6.071395663,17775,6.490642712,0.029182803,0.0008611,0.15413686
TRA2B,21780,6.331063555,2111,6.922437641,0.044072937,0.001132717,0.20275628
HNRNPF*,18032,6.291495185,5859,6.665913793,0.028752349,0.001335556,0.239064512
DDX58,12040,6.179910226,11851,6.589968016,0.024596933,0.001453854,0.260239942
ANKHD1,1533,5.853313324,22358,6.419657427,0.049866821,0.001593448,0.285227104
ZFP36,23552,6.397090055,339,5.426445731,0.103221041,0.001615423,0.28916072
ENOX1,13269,6.189938015,10622,6.624886326,0.024437895,0.001741062,0.311650047
RBM14,778,5.400559304,23113,6.416397479,0.067774932,0.001986272,0.35554265
PUM1,10923,6.179115929,12968,6.555316686,0.023981877,0.002183697,0.390881726
DAZAP1,22271,6.415699865,1620,5.93813481,0.046666622,0.00278255,0.498076529
ZCRB1,9088,6.424223359,14803,6.358203621,0.02400698,0.003035097,0.543282356
SRSF7,13203,6.181417262,10688,6.632726233,0.023424847,0.00306107,0.547931556
IGHMBP2,19498,6.449517702,4393,6.089490992,0.029739262,0.003522527,0.630532406
KHDRBS2,17262,6.433925204,6629,6.251533145,0.025264704,0.004421019,0.791362446
AGO1,14441,6.248321274,9450,6.589610853,0.023044623,0.004636883,0.830002079
ADAR,9982,6.134194788,13909,6.562103509,0.022831283,0.004675507,0.836915799
RBM25,2735,6.064930905,21156,6.424477409,0.034920291,0.0054425,0.974207483
SRSF1,22757,6.359509068,1134,6.861095428,0.0263864,0.439550539,1
SRSF2*,20583,6.331951713,3308,6.702922603,0.023338266,0.089675952,1
HNRNPL,23521,6.3974605,370,5.484220709,0.07240821,0.043868473,1
IGF2BP3,21422,6.343028258,2469,6.732879193,0.019017707,0.399937006,1
HNRNPLL,11587,6.2410042,12304,6.517336997,0.017606857,0.049456869,1
PTBP1,23766,6.389717492,125,5.166433389,0.113480434,0.081306625,1
SRSF2,22258,6.336504515,1633,7.02137942,0.038334167,0.022863385,1
HNRNPA1,23527,6.389066265,364,6.011725431,0.071180902,0.052905632,1
RBM5,22162,6.402356341,1729,6.139276381,0.034458991,0.044342622,1
HNRNPD,22535,6.407310235,1356,5.984582544,0.04237417,0.020240828,1
SRSF6,19639,6.327032,4252,6.64328519,0.014150453,0.485923468,1
SFPQ,20825,6.377150935,3066,6.42519956,0.019281027,0.273521784,1
NUDT21,20479,6.341726688,3412,6.632945265,0.020902406,0.155206601,1
MBNL1,22888,6.37805745,1003,6.503341145,0.03257259,0.259753548,1
SRSF9,23094,6.376223749,797,6.588856728,0.03428343,0.325560527,1
QKI,14948,6.375922988,8943,6.395676311,0.015849982,0.120217823,1
PCBP2,22226,6.349512395,1665,6.834575132,0.029564893,0.13332113,1
ELAVL2,23350,6.37742234,541,6.637742055,0.034062546,0.571614791,1
HNRNPA2B1,17942,6.363026613,5949,6.44451279,0.013512218,0.388379601,1
TIA1,23462,6.387419162,429,6.158978305,0.055518431,0.148913716,1
SF1,14558,6.310032788,9333,6.497629139,0.010965534,0.500996692,1
HNRNPH3,22297,6.348419005,1594,6.871475234,0.032224235,0.09103601,1
SRP68,22797,6.365440902,1094,6.75582617,0.021367352,0.72720342,1
AKAP1,2990,6.332059675,20901,6.390649809,0.012366293,0.818596341,1
HNRNPK,23121,6.380711573,770,6.461555593,0.015586775,0.99353303,1
HNRNPH1*,21130,6.332607807,2761,6.771397003,0.025401865,0.08558433,1
MSI1,8390,6.373730367,15501,6.388506051,0.010833451,0.545279811,1
SRSF5,23168,6.37570979,723,6.627089453,0.022051568,0.88486046,1
CELF1,22139,6.356040201,1752,6.728000038,0.019928261,0.53932098,1
CELF2,22525,6.34925718,1366,6.944957607,0.039040987,0.03944363,1
HNRNPH2,23068,6.372310212,823,6.691832451,0.033265272,0.342790659,1
ZRANB2,19037,6.338179736,4854,6.560342491,0.018674789,0.134669587,1
IGF2BP2,18971,6.290892127,4920,6.739698281,0.026561262,0.00807203,1
DDX19B,14347,6.420434416,9544,6.327520695,0.013695097,0.232624257,1
KHSRP,23184,6.370447369,707,6.805344091,0.030556239,0.543553148,1
GRSF1,21751,6.347848228,2140,6.743823963,0.028982361,0.075775223,1
G3BP2,9016,6.205327805,14875,6.491199637,0.02048348,0.017999166,1
PCBP1,22749,6.392743387,1142,6.195543589,0.036649789,0.107717,1
TIAL1,23283,6.391332865,608,6.076360172,0.046385634,0.156121031,1
YBX1,22588,6.362658404,1303,6.741444396,0.022975001,0.533768789,1
PABPC1,22583,6.400776261,1308,6.081880565,0.041093298,0.030729421,1
HNRNPA1*,17464,6.326122102,6427,6.538732488,0.020679666,0.035969356,1
NOVA1,23557,6.384077933,334,6.32965934,0.039584837,0.680486263,1
RBMX,22484,6.360288083,1407,6.751323961,0.023180442,0.475237445,1
HNRNPH1,23068,6.372310212,823,6.691832451,0.033265272,0.342790659,1
KHDRBS3,21234,6.406220149,2657,6.200282814,0.017281882,0.480915648,1
HNRNPDL,17306,6.30847401,6585,6.580011976,0.01499533,0.233722601,1
MATR3,7634,6.366976223,16257,6.390990564,0.012272588,0.414435163,1
YTHDC1,21718,6.346302482,2173,6.753259447,0.028150297,0.087367291,1
RBM46,16631,6.369526151,7260,6.414909183,0.009634005,0.736229216,1
RBM6,8435,6.23199978,15456,6.465897512,0.015631148,0.138928063,1
SRSF3,21872,6.369870609,2019,6.528984711,0.014593123,0.826062611,1
SRSF10,19412,6.308680018,4479,6.706794723,0.022134386,0.05653584,1
RBM3,9510,6.339572276,14381,6.412245166,0.015037067,0.150162825,1
SNRNP70,7059,6.257455154,16832,6.436101126,0.010042697,0.697499141,1
RBFOX2,7434,6.165061315,16457,6.481908262,0.023682388,0.006403409,1
LIN28A,12746,6.22995623,11145,6.558708656,0.019458352,0.022160642,1
HNRNPC,20110,6.390136935,3781,6.347044782,0.018725981,0.214351641,1
PPRC1,2254,5.873214633,21637,6.436456269,0.03070023,0.042646225,1
HNRNPF,22319,6.351276939,1572,6.838218875,0.029824143,0.146641708,1
G3BP1,148,6.269796326,23743,6.384024775,0.073494208,0.404825946,1
FUS,23003,6.390186215,888,6.205379023,0.042660564,0.08901156,1
PUM2,6478,6.177616421,17413,6.459842124,0.020561063,0.036921601,1
CPEB2,12706,6.397930307,11185,6.366716818,0.014331302,0.17359937,1
RBM41,12232,6.409514126,11659,6.355832686,0.018231964,0.037805017,1
ELAVL1,22469,6.376148169,1422,6.496594144,0.021536189,0.56447991,1
FMR1,22529,6.400984618,1362,6.091077554,0.046429471,0.007873873,1
DAZAP1*,13806,6.289869687,10085,6.51124335,0.02025572,0.016753781,1
YBX2,7467,6.362188827,16424,6.392922924,0.012095435,0.440463645,1
RBMS3,13598,6.354882851,10293,6.42088148,0.018089388,0.043242286,1
ELAVL4,23292,6.396983396,599,5.851907883,0.070293898,0.006232164,1
RBM8A,2252,5.959703396,21639,6.427403209,0.03093526,0.040322258,1
HNRNPH2*,21130,6.332607807,2761,6.771397003,0.025401865,0.08558433,1
NOVA2,22440,6.356717614,1451,6.794684236,0.022922725,0.471047736,1
SRSF1*,10729,6.268391222,13162,6.476998987,0.015116309,0.134199587,1
RBFOX1*,7682,6.261444057,16209,6.441076984,0.012920967,0.349058481,1
NONO,15424,6.274320745,8467,6.581871608,0.022746658,0.006988575,1
PABPN1,14192,6.290310007,9699,6.519409266,0.014525725,0.175722154,1
SNRPA,7570,6.330604647,16321,6.407766246,0.013539769,0.299311267,1
PABPC5,9958,6.290851207,13933,6.449403127,0.018998865,0.030218383,1
KHDRBS1,21967,6.379152303,1924,6.430868729,0.01499478,0.821242512,1
SRSF11,8981,6.134758982,14910,6.533035524,0.022485759,0.006911045,1
SF1*,10048,6.371297023,13843,6.392042014,0.010569953,0.533584727,1
FXR1,8054,6.233570234,15837,6.459471833,0.017062874,0.089306315,1
IGF2BP1,3,5.177620095,23888,6.383468571,0,1,1
CPEB1,18374,6.388445139,5517,6.366238735,0.012792308,0.491081153,1
RBM28,6538,6.360447733,17353,6.391933545,0.016476611,0.151723754,1
PABPC3,10974,6.28899487,12917,6.463451295,0.012819211,0.283744533,1
IFIH1,13780,6.22740132,10111,6.595810493,0.021542956,0.008915206,1
ZNF638,11486,6.339372813,12405,6.424005961,0.015956414,0.095955304,1
CSTF2,2347,6.345042489,21544,6.387486788,0.01911066,0.422110013,1
NELFE,139,6.430631436,23752,6.383040262,0.067016848,0.564088773,1
SSB,22891,6.38285838,1000,6.39381891,0.030866804,0.320857115,1
SRP54,22341,6.370864304,1550,6.562806879,0.014444324,0.922900041,1
TUT1,6746,6.476962641,17145,6.346470697,0.02334636,0.010211642,1
SRP19,22150,6.362831493,1741,6.643947448,0.01915982,0.594013484,1
RALY,13141,6.446579574,10750,6.305983991,0.015217227,0.129307032,1
SART3,20753,6.419018974,3138,6.147205007,0.030297001,0.013420319,1
TARDBP,16287,6.307441362,7604,6.545835432,0.018919516,0.048902068,1
DHX9,10650,6.161703144,13241,6.561565712,0.02180044,0.00731895,1
HNRNPA0,17201,6.381932347,6690,6.386877694,0.008796548,0.850082861,1
EIF4B,7807,6.280533322,16084,6.433207314,0.013830553,0.267139982,1
CELF4,13899,6.314817759,9992,6.478600685,0.013075451,0.273358272,1
HNRNPH3*,20927,6.33169736,2964,6.747773086,0.022512436,0.143867645,1
ELAVL3,17454,6.376468549,6437,6.401887218,0.015365701,0.21680084,1
HNRNPC*,10729,6.268391222,13162,6.476998987,0.015116309,0.134199587,1
CELF5,11657,6.33903505,12234,6.425510749,0.010427907,0.534944201,1
RBM24,14882,6.257707895,9009,6.590811543,0.017298788,0.069561361,1
OAS1,21443,6.366928014,2448,6.526876093,0.022400758,0.220195009,1
CELF6,11855,6.26552031,12036,6.49934254,0.014462833,0.164318707,1
HNRNPM,5015,6.291663741,18876,6.407667749,0.013238817,0.490969246,1
QKI*,8526,6.299744862,15365,6.429691207,0.015154235,0.161076762,1
NXF1,22553,6.362974294,1338,6.726211386,0.024692011,0.424470626,1
HNRNPA3,28,4.013375823,23863,6.386097957,0.205684533,0.18748705,1
ZFP36L2,1751,6.029738305,22140,6.411280863,0.031843566,0.074443517,1
RBMS1,5836,6.33924359,18055,6.397563251,0.012504487,0.495511502,1
HNRNPA1L2,6540,6.423746368,17351,6.36807843,0.017642295,0.103965194,1
SRSF4,1516,6.027433174,22375,6.407429783,0.030187645,0.150319448,1
TARDBP*,4439,6.338597895,19452,6.39352221,0.022768009,0.047171518,1
RBMY1A1,17746,6.290200038,6145,6.652227862,0.020743312,0.039364713,1
RNASEL,23272,6.395260253,619,5.93430287,0.054022986,0.059228747,1
ACO1,16665,6.336037979,7226,6.492354991,0.014375714,0.248549385,1
A1CF,8567,6.433526412,15324,6.355247279,0.015525038,0.141411023,1
U2AF2,18456,6.395916473,5435,6.340532778,0.019061332,0.094615083,1
NOVA1 ,20049,6.325529781,3842,6.684873374,0.026685973,0.020262994,1
AGO2,17558,6.461336603,6333,6.167011211,0.021071927,0.032062163,1
RC3H1,21537,6.366730146,2354,6.53507346,0.010319598,0.977552921,1
HNRNPAB,5906,6.339665617,17985,6.397651651,0.010354529,0.727113953,1
HNRNPCL1,15495,6.402835893,8396,6.347294892,0.013173086,0.301157434,1
PIWIL1,20680,6.370724139,3211,6.464420708,0.018162316,0.31835103,1
TRA2A,16967,6.296740344,6924,6.595470344,0.023727398,0.007878307,1
TRA2B*,7171,6.488416282,16720,6.338241443,0.020218439,0.033044237,1
RBFOX2*,7682,6.261444057,16209,6.441076984,0.012920967,0.349058481,1
CMTR1,17631,6.320729205,6260,6.559593205,0.015741062,0.202450728,1
SRSF6*,1418,6.01724796,22473,6.406415364,0.046340831,0.006502216,1
ZNF346,18381,6.290321433,5510,6.693544794,0.024180348,0.014064365,1
YBX1*,13806,6.289869687,10085,6.51124335,0.02025572,0.016753781,1
XPO5,21984,6.344385748,1907,6.832120503,0.026646041,0.165422883,1
PHAX,10178,6.155386224,13713,6.552491001,0.021920434,0.007291355,1
EIF4A3,14347,6.420434416,9544,6.327520695,0.013695097,0.232624257,1
RBM42,1921,6.290425163,21970,6.391439388,0.016524237,0.720342353,1
SNRPB2,49,5.884984405,23842,6.384341324,0.102717893,0.680615892,1
HNRNPA2B1*,13806,6.289869687,10085,6.51124335,0.02025572,0.016753781,1
SRP14,21530,6.341355201,2361,6.76596891,0.022430764,0.234684561,1
CPEB4,17829,6.373674907,6062,6.411676041,0.008708727,0.882575615,1
PABPC4,19913,6.432047386,3978,6.139384235,0.028690641,0.008519416,1
HNRNPLL*,12,5.637139605,23879,6.383692131,0.130212041,0.98710943,1
F2,20697,6.342906007,3194,6.645179857,0.01738549,0.373008402,1
CNOT4,7785,6.163389163,16106,6.489621597,0.020534232,0.023927493,1
ESRP1,6287,6.3028107,17604,6.412068803,0.014580143,0.278304684,1
