,simu1,simu2,simu3,simu4,simu5,simu6,simu7,simu8,simu9,simu10,mean,sd,cv,Low95%CI,up95%CI
NM_001031,6.859,6.907,6.957,6.873,6.866,7.076,6.8,6.985,6.827,6.766,6.892,0.093,0.0135,6.825,6.958
NM_001199752,11.12,11.06,10.72,11.11,11.51,10.3,10.8,11.85,11.29,11.44,11.12,0.4412,0.0397,10.8,11.43
NM_001137601,4.139,3.937,3.927,3.959,4.028,3.928,3.796,3.907,3.85,3.96,3.943,0.0933,0.0237,3.877,4.01
NM_004845,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,15.38,0,0,15.38,15.38
NM_002133,3.34,3.305,3.273,3.347,3.32,3.256,3.284,3.276,3.234,3.346,3.298,0.0396,0.012,3.27,3.326
NM_004345,0.8665,0.9256,0.9234,0.8908,0.9086,0.8962,0.8865,0.9611,0.8804,0.9229,0.9062,0.0278,0.0306,0.8864,0.9261
NM_147686,3.579,3.657,3.565,3.594,3.742,3.63,3.627,3.622,3.607,3.57,3.619,0.0521,0.0144,3.582,3.657
NM_001220,3.117,3.197,2.806,3.346,3.128,3.31,3.32,3.18,3.128,3.009,3.154,0.162,0.0514,3.038,3.27
NM_003632,11.37,12.13,13.39,11.95,11.74,12.8,12.42,11.75,11.36,11.77,12.07,0.6411,0.0531,11.61,12.53
NM_144646,1.989,2.007,2.1,2.037,1.92,1.942,2.046,2.177,2.099,2.085,2.04,0.0787,0.0386,1.984,2.096
NM_001301738,0.9349,1.022,1.056,0.9826,0.9304,0.9535,0.889,0.9325,0.9799,0.9273,0.9608,0.0499,0.0519,0.9251,0.9965
NM_003047,6.956,7.398,7.104,7.256,6.57,7.295,7.19,7.216,7.276,6.919,7.118,0.2439,0.0343,6.944,7.293
NM_024897,1.977,1.703,2.119,1.922,1.983,1.693,1.865,1.964,1.866,1.651,1.874,0.1508,0.0805,1.766,1.982
NM_001272107,2.227,2.111,2.266,2.317,2.215,2.247,2.36,2.146,2.187,2.223,2.23,0.074,0.0332,2.177,2.283
NM_001098519,4.477,4.308,3.906,3.944,4.372,3.618,4.24,4.655,3.478,3.994,4.099,0.3772,0.092,3.829,4.369
NM_001272104,1.803,1.63,1.683,1.759,1.815,1.792,1.69,1.616,1.75,1.765,1.73,0.0713,0.0412,1.679,1.781
NM_001018111,6.519,6.41,6.073,5.15,7.048,5.906,5.669,5.853,5.528,6.102,6.026,0.5406,0.0897,5.639,6.413
NM_001191003,0.8767,0.705,0.9378,0.8468,0.7978,0.8226,0.8488,0.8212,0.8838,0.829,0.837,0.0612,0.0731,0.7932,0.8807
NM_001083590,5.008,4.815,5.42,4.651,4.319,5.071,5.963,5.468,5.606,5.731,5.205,0.5194,0.0998,4.834,5.577
NM_005397,3.719,3.633,3.75,4.065,3.529,3.751,3.556,3.621,3.802,3.658,3.708,0.1531,0.0413,3.599,3.818
NM_017727,44.61,46.9,41.53,44.05,44.74,46.58,42.58,42.79,42.5,43.88,44.02,1.759,0.04,42.76,45.27
NM_001191002,2.897,2.886,2.829,2.927,2.758,2.851,2.918,2.895,2.853,2.9,2.872,0.0506,0.0176,2.835,2.908
NM_001272108,7.628,7.586,8.239,7.202,7.314,8.152,9.426,8.208,8.622,9.431,8.181,0.7945,0.0971,7.612,8.749
