transcript,gene,classification,half-life
NONHSAT000008.2,NONHSAG000002.2,Intergenic,14.27349318
NONHSAT000010.2,NONHSAG000002.2,Intergenic,2.79228829
NONHSAT000018.2,NONHSAG000008.3,Intergenic,4.221430995
NONHSAT000032.2,NONHSAG000012.2,Intergenic,2.405713287
NONHSAT000042.2,NONHSAG000016.2,Intergenic,3.228950388
NONHSAT000043.2,NONHSAG000008.3,Intergenic,1.693246473
NONHSAT000046.2,NONHSAG000017.3,Intergenic,1.610333857
NONHSAT000050.2,NONHSAG000017.3,Intergenic,3.33543898
NONHSAT000053.2,NONHSAG000017.3,Intergenic,3.977694685
NONHSAT000054.2,NONHSAG000017.3,Intergenic,1.399413396
NONHSAT000090.2,NONHSAG000033.2,Intergenic,3.526268931
NONHSAT000091.2,NONHSAG000034.2,Intergenic,2.97880517
NONHSAT000100.2,NONHSAG000039.3,Intergenic,4.281674875
NONHSAT000102.2,NONHSAG000039.3,Intergenic,7.520913726
NONHSAT000108.2,NONHSAG000039.3,Intergenic,2.416065954
NONHSAT000109.2,NONHSAG000039.3,Intergenic,2.638706297
NONHSAT000111.2,NONHSAG000039.3,Intergenic,1.051458492
NONHSAT000115.2,NONHSAG000041.2,Intergenic,2.831080553
NONHSAT000117.2,NONHSAG000041.2,Intergenic,5.6648203
NONHSAT000121.2,NONHSAG000041.2,Intergenic,3.19838738
NONHSAT000132.2,NONHSAG000044.3,Intergenic,2.625932248
NONHSAT000136.2,NONHSAG000044.3,Intergenic,2.385284046
NONHSAT000147.2,NONHSAG000046.3,Intergenic,2.156197373
NONHSAT000149.2,NONHSAG000046.3,Intergenic,0.584335936
NONHSAT000157.2,NONHSAG000046.3,Intergenic,4.834134623
NONHSAT000158.2,NONHSAG000047.3,Intergenic,2.909319057
NONHSAT000159.2,NONHSAG000047.3,Intergenic,5.648330112
NONHSAT000161.2,NONHSAG000047.3,Intergenic,4.753992748
NONHSAT000164.2,NONHSAG000047.3,Intergenic,0.896677425
NONHSAT000171.2,NONHSAG000047.3,Intergenic,0.592779214
NONHSAT000176.2,NONHSAG000047.3,Intergenic,1.539685343
NONHSAT000178.2,NONHSAG000047.3,Intergenic,4.492077351
NONHSAT000179.2,NONHSAG000047.3,Intergenic,6.499522749
NONHSAT000183.2,NONHSAG000047.3,Intergenic,1.528854774
NONHSAT000186.2,NONHSAG000047.3,Intergenic,5.046013704
NONHSAT000187.2,NONHSAG000047.3,Intergenic,2.200346209
NONHSAT000192.2,NONHSAG000053.2,Intergenic,3.236692959
NONHSAT000197.2,NONHSAG056044.2,Intergenic,3.482141552
NONHSAT000205.2,NONHSAG000059.3,Intergenic,8.438572943
NONHSAT000209.2,NONHSAG000059.3,Intergenic,1.29389145
NONHSAT000210.2,NONHSAG000059.3,Intergenic,2.41292354
