miRNA,have_motif,have_mean,no_motif,no_mean,D,p,fdr
hsa-miR-6127,3309,5.651737578,20582,6.500934333,0.057587985,1.23E-08,3.26E-05
hsa-miR-6133,3486,5.716301948,20405,6.49727035,0.055755391,1.83E-08,4.85E-05
hsa-miR-18a-3p,2595,5.636200105,21296,6.474356255,0.061889358,4.03E-08,0.000106966
hsa-miR-296-5p,1891,5.592147423,22000,6.451321787,0.069521129,9.79E-08,0.000259869
hsa-miR-6791-5p,4023,5.874832679,19868,6.486278348,0.049891689,1.17E-07,0.000310144
hsa-miR-4292,3194,5.764817602,20697,6.478765167,0.054451761,1.50E-07,0.000397123
hsa-miR-6752-3p,2914,5.750492648,20977,6.471225366,0.056242499,1.87E-07,0.000495615
hsa-miR-663b,2115,5.70568452,21776,6.449132408,0.063974567,2.81E-07,0.000744548
hsa-miR-5001-5p,4519,5.895890809,19372,6.497021449,0.045135923,6.56E-07,0.001741624
hsa-miR-6735-5p,4443,5.865697815,19448,6.501570068,0.045008913,8.65E-07,0.00229593
hsa-miR-6852-5p,3602,5.799628684,20289,6.486942065,0.048718423,9.88E-07,0.002622327
hsa-miR-762,4763,5.901935709,19128,6.503184353,0.043619696,9.97E-07,0.002646575
hsa-miR-6775-3p,2255,5.772063103,21636,6.447024764,0.059498049,1.05E-06,0.002790384
hsa-miR-6879-5p,4013,5.863919968,19878,6.488173823,0.046347409,1.18E-06,0.003127162
hsa-miR-4446-3p,3216,5.774975783,20675,6.477944762,0.050171467,1.64E-06,0.00436523
hsa-miR-3619-5p,3916,5.866328055,19975,6.484670309,0.046191984,1.71E-06,0.004539116
hsa-miR-4498,4193,5.878388009,19698,6.490798516,0.044876381,1.79E-06,0.004760092
hsa-miR-6756-5p,4658,5.842065711,19233,6.514401705,0.04260025,2.46E-06,0.006517323
hsa-miR-1915-3p,3944,5.870524999,19947,6.484708452,0.045260127,2.77E-06,0.007343398
hsa-miR-6752-5p,3191,5.684786454,20700,6.490998865,0.049393675,2.77E-06,0.007344812
hsa-miR-8085,3649,5.720492281,20242,6.502803762,0.046515147,3.10E-06,0.008216074
hsa-miR-874-3p,2613,5.752946707,21278,6.460728468,0.053121621,3.95E-06,0.01048953
hsa-miR-1207-5p,4615,5.922859239,19276,6.493558554,0.041773939,4.54E-06,0.012051162
hsa-miR-7110-5p,2877,5.727706607,21014,6.473075958,0.050552557,4.83E-06,0.012817295
hsa-miR-185-5p,1678,5.699516011,22213,6.434972413,0.063714126,6.31E-06,0.016742385
hsa-miR-6892-3p,1930,5.677157194,21961,6.445376654,0.059489609,7.04E-06,0.01868432
hsa-miR-4721,1861,5.763798304,22030,6.43565145,0.060359243,7.42E-06,0.019704862
hsa-miR-4667-3p,2745,5.851439827,21146,6.452361097,0.050275274,9.27E-06,0.024595283
hsa-miR-4290,1497,5.602650525,22394,6.43550336,0.065431986,1.21E-05,0.032122973
hsa-miR-1289,872,5.488964336,23019,6.417196802,0.084435783,1.25E-05,0.033277034
hsa-miR-4731-5p,3605,5.850480143,20286,6.478006959,0.044159682,1.31E-05,0.034682683
hsa-miR-4656,2751,5.84354344,21140,6.453559228,0.049109655,1.59E-05,0.042232367
hsa-miR-4755-3p,2725,5.794763387,21166,6.459090043,0.049261851,1.63E-05,0.043274532
hsa-miR-4632-5p,4179,5.941903839,19712,6.476898029,0.041214001,1.64E-05,0.043431394
hsa-miR-4685-5p,3852,5.812374606,20039,6.493066675,0.042445852,1.76E-05,0.046651324
hsa-miR-6820-5p,785,5.358968641,23106,6.418118225,0.087509297,1.78E-05,0.047318478
hsa-miR-361-3p,3202,5.915134812,20689,6.455776906,0.04561362,1.95E-05,0.051744907
hsa-miR-6515-5p,2045,5.756385872,21846,6.442004073,0.055240943,2.21E-05,0.058683909
hsa-miR-4510,2550,5.774542289,21341,6.456058631,0.049977719,2.29E-05,0.060687745
hsa-miR-4644,1683,5.524763425,22208,6.44838136,0.060230713,2.35E-05,0.062424491
hsa-miR-760,2414,5.734126679,21477,6.456285714,0.051031625,2.47E-05,0.065493031
hsa-miR-3155a,2086,5.659113805,21805,6.452598885,0.054378421,2.58E-05,0.068389674
hsa-miR-6731-5p,3221,5.723348779,20670,6.486159829,0.044871772,2.68E-05,0.070997653
hsa-miR-4763-3p,5061,5.975918279,18830,6.492815065,0.037394347,2.86E-05,0.075875403
hsa-miR-4690-3p,3023,5.90391976,20868,6.452764072,0.045956877,2.86E-05,0.076028648
hsa-miR-6081,2881,5.743132938,21010,6.471102527,0.046586533,3.35E-05,0.08889301
hsa-miR-1915-5p,1478,5.479275719,22413,6.442933145,0.062881844,3.46E-05,0.091782607
hsa-miR-4492,3736,5.870393794,20155,6.478394387,0.041699447,3.47E-05,0.092188269
hsa-miR-6766-5p,3292,5.81041609,20599,6.474874524,0.04393948,3.48E-05,0.09226849
hsa-miR-4723-3p,1707,5.668638374,22184,6.43830979,0.058797027,3.48E-05,0.09234229
hsa-miR-6810-3p,2395,5.858483102,21496,6.441792103,0.050387099,3.54E-05,0.093944525
hsa-miR-4436b-3p,3289,5.861205955,20602,6.466669435,0.043652553,4.04E-05,0.107303215
hsa-miR-1225-3p,1727,5.617382843,22164,6.442998101,0.058058253,4.08E-05,0.108172035
hsa-miR-4447,2174,5.68978881,21717,6.452743436,0.052196845,4.21E-05,0.111778035
hsa-miR-3620-3p,1613,5.585646795,22278,6.441071093,0.059706804,4.40E-05,0.11683912
hsa-miR-486-3p,2460,5.881063456,21431,6.440969343,0.049262238,4.46E-05,0.118442701
