transcript,chr,start,end,strand,gene,exonnum
NONHSAT000008.2,chr1,16858,17751,-,NONHSAG000002.2,2
NONHSAT000010.2,chr1,17606,29370,-,NONHSAG000002.2,7
NONHSAT000018.2,chr1,89295,268126,-,NONHSAG000008.3,2
NONHSAT000032.2,chr1,141474,149707,-,NONHSAG000012.2,2
NONHSAT000042.2,chr1,258568,259024,-,NONHSAG000016.2,1
NONHSAT000043.2,chr1,266105,297502,-,NONHSAG000008.3,4
NONHSAT000046.2,chr1,490882,501526,-,NONHSAG000017.3,2
NONHSAT000050.2,chr1,497134,498458,-,NONHSAG000017.3,3
NONHSAT000053.2,chr1,476531,497259,-,NONHSAG000017.3,3
NONHSAT000054.2,chr1,494382,496665,-,NONHSAG000017.3,2
NONHSAT000086.2,chr1,601436,720200,-,NONHSAG000046.3,3
NONHSAT000090.2,chr1,629640,630683,+,NONHSAG000033.2,1
NONHSAT000091.2,chr1,631084,632680,+,NONHSAG000034.2,1
NONHSAT000100.2,chr1,725759,730351,-,NONHSAG000039.3,3
NONHSAT000102.2,chr1,729289,738901,-,NONHSAG000039.3,8
NONHSAT000108.2,chr1,738860,744356,-,NONHSAG000039.3,5
NONHSAT000109.2,chr1,741813,750016,-,NONHSAG000039.3,2
NONHSAT000111.2,chr1,749313,753814,-,NONHSAG000039.3,2
NONHSAT000115.2,chr1,759032,764925,-,NONHSAG000041.2,2
NONHSAT000117.2,chr1,764865,778688,-,NONHSAG000041.2,7
NONHSAT000121.2,chr1,773008,778635,-,NONHSAG000041.2,3
NONHSAT000132.2,chr1,784370,807314,+,NONHSAG000044.3,4
NONHSAT000136.2,chr1,784396,807321,+,NONHSAG000044.3,7
NONHSAT000147.2,chr1,810109,817712,-,NONHSAG000046.3,2
NONHSAT000149.2,chr1,818094,828159,-,NONHSAG000046.3,2
NONHSAT000157.2,chr1,826206,827522,-,NONHSAG000046.3,1
NONHSAT000158.2,chr1,827591,843604,+,NONHSAG000047.3,3
NONHSAT000159.2,chr1,827591,859446,+,NONHSAG000047.3,5
NONHSAT000161.2,chr1,827591,859446,+,NONHSAG000047.3,6
NONHSAT000164.2,chr1,827591,859446,+,NONHSAG000047.3,4
NONHSAT000171.2,chr1,827798,859446,+,NONHSAG000047.3,5
