transcript_id,exon
NM_001031,4
NM_001199752,20
NM_001137601,1
NM_004845,8
NM_002133,5
NM_004345,4
NM_147686,9
NM_001220,24
NM_003632,24
NM_144646,4
NM_001301738,6
NM_003047,12
NM_024897,7
NM_001272107,7
NM_001098519,12
NM_001272104,8
NM_001018111,9
NM_001191003,6
NM_001083590,16
NM_005397,8
NM_017727,17
NM_001191002,5
NM_001272108,6
NM_198406,8
NM_001300901,5
NM_001272106,6
NM_001272105,9
NM_004832,6
NM_198179,6
NM_001039841,7
NM_005794,9
NM_198705,6
NM_001256306,5
NM_016029,7
NM_198707,7
NM_002035,10
NM_020905,2
NM_015510,7
NM_001282990,6
NM_001277864,5
NM_001256301,7
NM_001286789,3
NM_001282989,5
NM_021004,8
NM_001304512,4
NM_001267868,9
NM_001199771,5
NM_000216,14
NM_001193635,9
NM_016245,7
NM_001282988,7
NM_001145971,7
NM_032783,5
NM_145177,7
NM_016373,9
NM_178135,7
NM_001282987,6
NM_014680,39
NM_031463,6
NM_001236,3
NM_001193637,6
NM_005525,6
NM_138412,8
NM_014234,9
NM_001267870,5
NM_001146051,7
NM_001206741,7
NM_172037,6
NM_001304468,6
NM_001256307,6
NM_002153,5
NM_016371,9
NM_001256305,5
NM_001304467,7
NM_001289162,19
NM_199204,6
NM_198708,7
NM_024705,8
NM_001282991,4
NM_001267869,6
NM_001270424,10
NM_144683,5
NM_001136230,6
NM_001757,3
NM_012282,1
NM_001291997,8
NM_001142466,12
NM_133443,12
NM_052902,25
NM_001305624,7
NM_001743,6
NM_001305625,6
NM_001305626,5
NM_001305629,3
NM_000314,9
NM_017806,6
NM_001024688,17
NM_147200,10
NM_024863,3
NM_001006935,3
NM_001006937,3
NM_001305840,4
NM_001305878,14
NM_006766,17
NM_016035,7
NM_001305942,4
NM_001270449,9
NM_183415,28
NM_001270450,9
NM_130466,28
NM_001270451,9
NM_002240,4
NM_012141,18
NM_144778,9
NM_001286491,15
NM_001039938,3
NM_032892,14
NM_206886,28
NM_001017364,6
NM_005739,17
NM_153717,21
NM_007345,31
NM_000716,6
NM_001165993,10
NM_001165994,9
NM_018942,2
NM_001099433,21
NM_000320,7
NM_002112,12
NM_001278074,66
NM_000393,54
NM_000093,66
NM_207038,20
NM_207036,21
NM_003205,20
NM_012068,4
NM_001193646,3
NM_025141,5
NM_001007156,16
NM_002530,19
NM_004811,9
NM_001166226,20
NM_001012338,20
NM_001243101,18
NM_001004339,14
NM_024921,17
NM_001032283,9
NM_001128213,11
NM_001277053,7
NM_152528,11
NM_001032284,6
NM_003276,4
NM_152699,10
NM_001098817,7
NM_005781,15
NM_152259,22
NM_001010938,15
NM_022073,5
NM_017885,4
NM_001002018,5
NM_001242929,15
NM_004221,7
NM_001288666,4
NM_001012632,7
NM_001012631,8
NM_001012633,8
NM_152531,4
NM_024947,15
NM_032446,26
NM_003060,10
NM_001012634,6
NM_001012718,7
NM_138340,9
NM_139156,18
NM_001017995,13
NM_003941,11
NM_000377,12
NM_001257360,19
NM_152405,11
NM_198686,7
NM_005736,11
NM_001144875,6
NM_139070,12
NM_138644,6
NM_138643,4
NM_153769,6
NM_148415,23
NM_148416,23
NM_012189,6
NM_144615,5
NM_001018073,7
NM_139069,12
NM_001135044,7
NM_002752,12
NM_139068,12
NM_170711,13
NM_017492,23
NM_001146037,9
NM_001261410,10
NM_003382,13
NM_001261408,14
NM_006513,11
NM_001128588,11
NM_003567,12
NM_013976,12
NM_001280787,8
NM_001171610,14
NM_001281443,9
NM_000450,14
NM_000655,9
NM_001017365,7
NM_001017366,7
NM_001306075,7
NM_004341,44
NM_018401,12
NM_198531,30
NM_001306090,21
NM_175907,2
NM_001105079,18
NM_007082,10
NM_013412,9
NM_000545,10
NM_019556,6
NM_001306200,3
NM_003248,22
NM_001306213,23
NM_178835,15
NM_004537,15
NM_001143995,9
NM_018093,12
NM_018484,10
NM_001307990,32
NM_004579,32
NM_001128212,11
NM_006033,10
NM_003797,12
NM_022648,33
NM_001308038,8
NM_173666,6
NM_001281300,16
NM_182493,13
NM_004421,15
NM_002828,9
NM_001145796,10
NM_080423,9
NM_001040649,3
NM_001207013,11
NM_001145795,9
NM_015503,9
NM_001145797,10
NM_080422,10
NM_005246,20
NM_001128166,16
NM_002578,18
NM_022757,12
NM_025134,39
NM_018110,9
NM_001099640,4
NM_144973,21
NM_001159587,33
NM_080867,2
NM_018286,2
NM_022726,6
NM_001243251,14
NM_024678,14
NM_001242397,10
NM_002822,9
NM_007284,9
NM_018445,6
NM_002052,7
NM_031946,18
NM_001042535,9
NM_001308304,8
NM_006965,4
NM_014048,17
NM_014498,16
NM_020307,11
NM_001018,4
NM_173657,6
NM_001308235,6
NM_173505,10
NM_004058,5
NM_080590,5
NM_001308278,9
NM_001308293,11
NM_015967,21
NM_001017928,5
NM_001308341,8
NM_203475,15
NM_182763,2
NM_173475,3
NM_031443,10
NM_001126059,12
NM_022825,13
NM_001174085,9
NM_015319,29
NM_022165,6
NM_017844,14
NM_001282167,13
NM_170754,29
NM_078474,6
NM_001167935,8
NM_153635,20
NM_020828,8
NM_153370,7
NM_013274,9
NM_001126057,11
NM_203473,14
NM_001174084,9
NM_001190348,13
NM_001029835,10
NM_001190347,17
NM_001271620,8
NM_198576,36
NM_001080538,12
NM_001204830,3
NM_145199,2
NM_001152,4
NM_033087,2
NM_173660,7
NM_144988,4
NM_001382,9
NM_001845,52
NM_145197,4
NM_015929,3
NM_001305275,38
NM_002223,57
NM_001605,21
NM_001305242,5
NM_080538,17
NM_017778,10
NM_004239,21
NM_004429,5
NM_001008393,2
NM_015697,7
NM_001007525,19
NM_178493,11
NM_017421,7
NM_001286562,4
NM_001290355,21
NM_014433,7
NM_001043318,12
NM_001308150,11
NM_030627,10
NM_001308192,9
NM_001007559,11
NM_005637,10
NM_001308204,5
NM_001308205,5
NM_198567,9
NM_003799,12
NM_015272,27
NM_020313,9
NM_194312,9
NM_001282949,6
NM_001282951,5
NM_001282950,8
NM_022730,7
NM_001282952,6
NM_000164,14
NM_005793,6
NM_001308426,6
NM_001308430,5
NM_001308431,5
NM_001308435,4
NM_025146,5
NM_001005336,22
NM_001288738,22
NM_004408,21
NM_001288737,22
NM_147127,22
NM_001166136,22
NM_001307994,7
NM_001290149,6
NM_001301190,4
NM_052836,13
NM_001303628,3
NM_001302891,25
NM_001136108,8
NM_001302632,11
NM_001304808,13
NM_001290325,9
NM_001297723,6
NM_001301020,5
NM_001291721,30
NM_001304337,4
NM_001301650,9
NM_001304999,1
NM_001291918,11
NM_006764,12
NM_001144943,11
NM_000937,29
NM_001308151,9
NM_001304359,35
NM_001293697,10
NM_001290153,5
NM_001306085,29
NM_001308383,11
NM_001291728,7
NM_001302617,3
NM_001308142,17
NM_001303229,7
NM_001271562,1
NM_001307924,14
NM_020979,7
NM_001308229,5
NM_001289979,9
NM_001304802,13
NM_001290052,18
NM_001286212,7
NM_001304536,19
NM_001289746,8
NM_001303108,2
NM_001306146,11
NM_001305102,14
NM_001303538,7
NM_001305204,5
NM_001303501,7
NM_001301833,10
NM_173667,4
NM_025031,3
NM_001300776,4
NM_001308026,6
NM_001305000,3
NM_001308122,11
NM_004459,30
NM_001290746,3
NM_001039380,2
NM_001308419,5
NM_001305842,3
NM_001301685,7
NM_001308046,14
NM_001291942,5
NM_001297578,4
NM_001289910,11
NM_001308381,8
NM_001304288,7
NM_001291980,18
NM_001291291,3
NM_001301716,3
NM_001308103,5
NM_001308081,6
NM_001297741,8
NM_001301779,8
NM_001308064,5
NM_001308231,3
NM_001297763,7
NM_001293695,11
NM_001300832,10
NM_001010858,4
NM_001307985,8
NM_001300796,6
NM_152856,23
NM_001293642,9
NM_172056,9
NM_001304373,4
NM_001142470,5
NM_001303618,6
NM_001303620,8
NM_001303107,3
NM_001306089,31
NM_001308396,4
NM_001293298,30
NM_001290214,11
NM_001308211,8
NM_001304492,5
NM_001293735,4
NM_173832,3
NM_001301782,1
NM_001306160,8
NM_001306215,15
NM_001303251,3
NM_001291877,20
NM_001308273,9
NM_001304372,5
NM_001308358,8
NM_001291954,14
NM_001302554,10
NM_001256696,7
NM_001308263,12
NM_001304363,2
NM_001302946,8
NM_001308007,13
NM_001301687,3
NM_001305019,3
NM_001303458,14
NM_001290260,4
NM_001291572,18
NM_001306151,10
NM_001306159,10
NM_001304485,5
NM_001301790,5
NM_001304993,8
NM_001301187,6
NM_001303007,6
NM_001302703,6
NM_001290787,18
NM_001291739,1
NM_001304341,4
NM_001291339,26
NM_001289912,15
NM_001303134,11
NM_001302704,5
NM_001199744,6
NM_001290075,6
NM_020702,2
NM_001290983,26
NM_001278235,5
NM_001304443,11
NM_001306188,5
NM_001301410,5
NM_001282338,17
NM_001297553,39
NM_001307931,13
NM_001308230,23
NM_001304797,4
NM_007105,4
NM_001303234,5
NM_001306145,10
NM_182530,25
NM_001293320,3
NM_001290357,5
NM_001292025,11
NM_001307977,10
NM_001289937,26
NM_001291571,21
NM_001291430,3
NM_001291447,4
NM_001290229,8
NM_001291952,15
NM_001297624,4
NM_001308256,7
NM_001291605,5
NM_001306077,4
NM_001256695,8
NM_001300975,11
NM_001282927,9
NM_001293294,2
NM_003890,36
NM_001304486,4
NM_001308339,23
NM_001301856,8
NM_001306158,9
NM_001292009,44
NM_001304445,8
NM_001304947,2
NM_001290135,11
NM_001301229,5
NM_173541,3
NM_001308155,15
NM_001301175,16
NM_001307975,8
NM_001300794,22
NM_001308317,12
NM_001289972,5
NM_001301780,7
NM_001291737,1
NM_182626,4
NM_001308031,11
NM_001300953,10
NM_001304493,7
NM_001303479,3
NM_001293296,2
NM_182684,7
NM_001302691,4
NM_001308388,20
NM_001308201,11
NM_001308023,30
NM_001243203,2
NM_001308326,5
NM_001304529,7
NM_001306092,12
NM_001297567,4
NM_001304793,3
NM_001302084,15
NM_001305009,14
NM_001306070,8
NM_001291774,14
NM_001308185,11
NM_001308078,6
NM_001271156,3
NM_001308006,9
NM_001300923,3
NM_001304792,15
NM_001308045,9
NM_001308440,7
NM_001308382,6
NM_001308025,22
NM_001297577,5
NM_001300897,5
NM_001308340,3
NM_001308069,4
NM_001308054,10
NM_001290155,4
NM_001301195,4
NM_022068,52
NM_001291641,18
NM_001291412,11
NM_032790,2
NM_001307960,5
NM_001308156,8
NM_001303540,6
NM_001293237,17
NM_001308116,15
NM_001297700,7
NM_001290150,3
NM_001294343,15
NM_001308093,6
NM_001303098,6
NM_001301196,4
NM_001308333,5
NM_001290217,8
NM_001306091,20
NM_001289861,23
NM_001306179,10
NM_001306093,2
NM_001289745,9
NM_001293291,3
NM_001308294,9
NM_001303542,13
NM_001297666,7
NM_001304995,2
NM_001300804,6
NM_001306086,15
NM_001301409,12
NM_001308170,17
NM_001302835,6
NM_001306147,12
NM_001293163,12
NM_001290151,4
NM_001303039,7
NM_130444,42
NM_001303110,25
NM_001303474,3
NM_012248,1
NM_001306219,14
NM_001304795,3
NM_032712,4
NM_001291733,4
NM_001300855,4
NM_001290296,28
NM_001305011,11
NM_001290318,4
NM_001271934,11
NM_001190255,5
NM_001304779,4
NM_001173523,3
NM_001291974,11
NM_001304811,14
NM_001303447,13
NM_001308018,13
NM_001257387,16
NM_001302378,13
NM_001307922,7
NM_001297598,13
NM_001290139,9
NM_001308248,19
NM_001290061,18
NM_001308445,5
NM_001300881,5
NM_001308226,4
NM_013310,4
NM_001308375,15
NM_015038,1
NM_001292008,8
NM_001308319,38
NM_001307940,16
NM_001289980,9
NM_006010,4
NM_001300952,18
NM_001301159,2
NM_001293626,48
NM_001305017,4
NM_001300807,2
NM_001305020,2
NM_001304480,17
NM_182905,11
NM_001290043,13
NM_001306220,12
NM_001290060,18
NM_001300722,15
NM_001302836,6
NM_001301838,3
NM_001290118,5
NM_001290187,17
NM_001306140,6
NM_001297594,24
NM_001300727,9
NM_001303499,7
NM_001301105,5
NM_001301875,3
NM_001306076,29
NM_001307951,8
NM_001297770,4
NM_001303614,13
NM_001304748,3
NM_001195032,3
NM_001304263,5
NM_001290062,11
NM_001290210,6
NM_001301365,53
NM_001304435,8
NM_001302769,23
NM_001302490,10
NM_001297699,7
NM_001304370,5
NM_001304796,3
NM_001297721,5
NM_001304513,4
NM_001301828,6
NM_001289931,5
NM_001297662,13
NM_001290152,4
NM_001164465,10
NM_001308257,5
NM_001288723,5
NM_001306084,68
NM_001308347,9
NM_001302777,8
NM_001005914,19
NM_001308123,4
NM_001304524,17
NM_001258330,21
NM_001297778,5
NM_001308433,5
NM_001277348,6
NM_001304762,3
NM_001284364,16
NM_001305142,6
NM_001291970,11
NM_001301188,4
NM_001301718,3
NM_001290137,9
NM_001306171,10
NM_001303473,2
NM_001301861,20
NM_001308334,26
NM_001308196,12
NM_001281784,21
NM_001300721,14
NM_001291949,4
NM_001300898,6
NM_001290049,24
NM_001290212,4
NM_001289751,13
NM_001301837,3
NM_001304764,9
NM_001290154,5
