transcript_id,gene_id,gene_name,length,lambda.z,r.squared,adj.r.squared,lambda.z.time.first,lambda.z.n.points,clast.pred,half.life,span.ratio,tmax,tlast
ENST00000618686,ENSG00000278704,BX004987.4,2237,0.040245945,0.880492924,0.760985848,6,3,0.059552222,17.22278316,1.04512725,0,24
ENST00000611908,ENSG00000278785,Metazoa_SRP,247,0.347686434,0.94774841,0.895496821,0,3,0.384198047,1.99359858,6.019265924,0,12
ENST00000485221,ENSG00000243770,RN7SL65P,315,0.13577273,0.965459305,0.948188958,0,4,0.198961016,5.105201775,4.701087451,0,24
ENST00000615542,ENSG00000276100,ST7-OT4_3,293,0.093248184,0.999619531,0.999239062,6,3,0.42919334,7.433358456,2.42151648,6,24
ENST00000580341,ENSG00000277452,RN7SL473P,299,0.167361909,0.929104153,0.893656229,0,4,0.378738098,4.141606556,5.794852716,0,24
ENST00000590474,ENSG00000108984,MAP2K6,2870,0.047724638,0.943762117,0.887524234,6,3,5.293997924,14.52388565,1.239337766,6,24
ENST00000588110,ENSG00000108984,MAP2K6,632,0.090344526,0.989613085,0.984419628,0,4,0.305769154,7.672265354,3.128150408,0,24
ENST00000426563,ENSG00000213123,TCTEX1D2,603,0.02813956,0.974497414,0.948994829,6,3,0.639602136,24.63248072,0.730742478,0,24
ENST00000558514,ENSG00000103876,FAH,255,0.022130117,0.918828357,0.878242536,0,4,0.514840023,31.32144269,0.766248229,0,24
ENST00000559542,ENSG00000103876,FAH,782,0.104289259,0.947136126,0.920704189,0,4,0.096807806,6.646390873,3.61098233,0,24
ENST00000524471,ENSG00000149548,CCDC15,1161,0.086764434,0.933727791,0.900591687,0,4,0.050787625,7.98884002,3.004190839,0,24
ENST00000519632,ENSG00000146414,SHPRH,5245,0.068463278,0.937912444,0.875824888,6,3,0.307762235,10.12436442,1.777889382,6,24
ENST00000523276,ENSG00000146414,SHPRH,2030,0.1981445,0.999970972,0.999941945,6,3,0.031303777,3.498190371,5.145517565,0,24
ENST00000546482,ENSG00000159256,MORC3,1028,0.098343277,0.998269379,0.997404068,0,4,0.060084285,7.048241625,3.405104603,0,24
ENST00000549948,ENSG00000159256,MORC3,934,0.050871828,0.987922321,0.975844643,6,3,0.138156969,13.62536411,1.321065613,0,24
ENST00000510985,ENSG00000163312,HELQ,3315,0.107545751,0.916471247,0.832942495,6,3,0.469933015,6.445137773,2.792802983,6,24
ENST00000515482,ENSG00000163312,HELQ,574,0.080539987,0.902291274,0.804582547,0,3,0.400351546,8.606248993,1.394335675,0,12
ENST00000430755,ENSG00000161217,PCYT1A,798,0.055415355,0.999070802,0.998141604,6,3,0.319026743,12.50821511,1.43905424,0,24
ENST00000473978,ENSG00000161217,PCYT1A,1430,0.145555956,0.901657378,0.852486067,0,4,0.031598717,4.762066765,5.039828541,0,24
ENST00000454694,ENSG00000111325,OGFOD2,1488,0.120698053,0.866329274,0.732658549,0,3,0.349116488,5.742819907,2.089565787,0,12
