"","transcript_id","freeenergy","length"
"1","NONHSAT000008.2","-289.80"," 717.0000"
"2","NONHSAT000010.2","-354.50"," 868.0000"
"3","NONHSAT000018.2","-760.30","2373.0000"
"4","NONHSAT000032.2","-1674.60","4860.0000"
"5","NONHSAT000042.2","-128.00"," 457.0000"
"6","NONHSAT000043.2","-767.30","2513.0000"
"7","NONHSAT000046.2","-144.70"," 468.0000"
"8","NONHSAT000050.2","-119.90"," 459.0000"
"9","NONHSAT000053.2","-163.60"," 735.0000"
"10","NONHSAT000054.2","-177.70"," 607.0000"
"11","NONHSAT000086.2","-111.60"," 413.0000"
"12","NONHSAT000090.2","-115.29","1044.0000"
"13","NONHSAT000091.2","-338.24","1597.0000"
"14","NONHSAT000100.2","-1894.60","4273.0000"
"15","NONHSAT000102.2","-173.50"," 640.0000"
"16","NONHSAT000108.2","-200.70"," 683.0000"
"17","NONHSAT000109.2","-1670.40","4860.0000"
"18","NONHSAT000111.2","-69.40"," 221.0000"
"19","NONHSAT000115.2","-79.60"," 295.0000"
"20","NONHSAT000117.2","-467.40","1371.0000"
"21","NONHSAT000121.2","-83.20"," 228.0000"
"22","NONHSAT000132.2","-220.70"," 714.0000"
"23","NONHSAT000136.2","-307.40","1040.0000"
"24","NONHSAT000147.2","-122.60"," 402.0000"
"25","NONHSAT000149.2","-331.70"," 781.0000"
"26","NONHSAT000157.2","-433.20","1317.0000"
"27","NONHSAT000158.2","-980.30","2692.0000"
"28","NONHSAT000176.2","-1098.90","3529.0000"
"29","NONHSAT000179.2","-172.80"," 600.0000"
"30","NONHSAT000183.2","-1104.90","3526.0000"
"31","NONHSAT000186.2","-681.00","2194.0000"
"32","NONHSAT000187.2","-1474.70","4483.0000"
"33","NONHSAT000192.2","-502.70","1807.0000"
"34","NONHSAT000197.2","-229.10"," 578.0000"
"35","NONHSAT000205.2","-228.70"," 596.0000"
"36","NONHSAT000209.2","-283.20"," 665.0000"
"37","NONHSAT000210.2","-348.40"," 795.0000"
"38","NONHSAT000211.2","-175.30"," 424.0000"
"39","NONHSAT000229.2","-300.20"," 673.0000"
"40","NONHSAT000230.2","-338.00"," 977.0000"
"41","NONHSAT000232.2","-412.70","1113.0000"
"42","NONHSAT000234.2","-391.50"," 829.0000"
"43","NONHSAT000235.2","-182.10"," 540.0000"
"44","NONHSAT000236.2","-173.10"," 565.0000"
"45","NONHSAT000247.2","-326.20"," 858.0000"
"46","NONHSAT000269.2","-229.10"," 558.0000"
"47","NONHSAT000271.2","-147.90"," 389.0000"
"48","NONHSAT000284.2","-108.10"," 386.0000"
"49","NONHSAT000293.2","-131.80"," 393.0000"
"50","NONHSAT000307.2","-942.00","2196.0000"
"51","NONHSAT000308.2","-914.70","2228.0000"
"52","NONHSAT000312.2","-107.60"," 292.0000"
"53","NONHSAT000313.2","-1418.80","3106.0000"
"54","NONHSAT000327.2","-541.50","1194.0000"
"55","NONHSAT000329.2","-808.90","2179.0000"
"56","NONHSAT000333.2","-695.80","2101.0000"
"57","NONHSAT000337.2","-574.00","1369.0000"
"58","NONHSAT000373.2","-200.50"," 631.0000"
"59","NONHSAT000387.2","-340.00"," 838.0000"
"60","NONHSAT000393.2","-496.40","1253.0000"
"61","NONHSAT000394.2","-799.40","2260.0000"
"62","NONHSAT000395.2","-249.70"," 622.0000"
"63","NONHSAT000399.2","-215.60"," 503.0000"
"64","NONHSAT000400.2","-96.40"," 291.0000"
"65","NONHSAT000403.2","-127.50"," 324.0000"
"66","NONHSAT000415.2","-893.60","1711.0000"
"67","NONHSAT000416.2","-919.50","2407.0000"
"68","NONHSAT000433.2","-218.40"," 549.0000"
"69","NONHSAT000515.2","-308.50"," 722.0000"
"70","NONHSAT000523.2","-610.50","1666.0000"
"71","NONHSAT000530.2","-1608.30","4077.0000"
"72","NONHSAT000534.2","-262.80"," 657.0000"
"73","NONHSAT000537.2","-1007.30","2781.0000"
"74","NONHSAT000540.2","-507.30","1431.0000"
"75","NONHSAT000545.2","-950.30","2220.0000"
"76","NONHSAT000546.2","-807.70","1889.0000"
"77","NONHSAT000547.2","-121.80"," 295.0000"
"78","NONHSAT000554.2","-247.90"," 634.0000"
"79","NONHSAT000555.2","-1510.40","3838.0000"
"80","NONHSAT000626.2","-294.90"," 743.0000"
"81","NONHSAT000627.2","-130.50"," 378.0000"
"82","NONHSAT000628.2","-486.80","1101.0000"
"83","NONHSAT000635.2","-650.80","1642.0000"
"84","NONHSAT000696.2","-612.20","1730.0000"
"85","NONHSAT000699.2","-121.30"," 365.0000"
"86","NONHSAT000706.2","-328.00"," 892.0000"
"87","NONHSAT000719.2","-98.00"," 393.0000"
"88","NONHSAT000730.2","-844.50","2884.0000"
"89","NONHSAT000769.2","-303.20"," 744.0000"
"90","NONHSAT000771.2","-141.40"," 456.0000"
"91","NONHSAT000774.2","-81.80"," 352.0000"
"92","NONHSAT000786.2","-1500.40","4000.0000"
"93","NONHSAT000791.2","-509.15","1447.0000"
"94","NONHSAT000794.2","-267.70"," 773.0000"
"95","NONHSAT000806.2","-841.80","2363.0000"
"96","NONHSAT000814.2","-374.80"," 958.0000"
"97","NONHSAT000815.2","-232.20"," 548.0000"
"98","NONHSAT000825.2","-235.50","1017.0000"
"99","NONHSAT000829.2","-114.70"," 440.0000"
"100","NONHSAT000831.2","-78.30"," 319.0000"
"101","NONHSAT000832.2","-46.90"," 251.0000"
"102","NONHSAT000844.2","-104.80"," 291.0000"
"103","NONHSAT000860.2","-213.40"," 719.0000"
"104","NONHSAT000862.2","-100.50"," 309.0000"
"105","NONHSAT000875.2","-132.90"," 476.0000"
"106","NONHSAT000882.2","-309.00"," 732.0000"
"107","NONHSAT000883.2","-268.90"," 685.0000"
"108","NONHSAT000909.2","-1438.30","3728.0000"
"109","NONHSAT000917.2","-328.80"," 690.0000"
"110","NONHSAT000951.2","-472.00","1170.0000"
"111","NONHSAT001038.2","-1080.20","2845.0000"
"112","NONHSAT001039.2","-578.70","1833.0000"
"113","NONHSAT001041.2","-180.40"," 447.0000"
"114","NONHSAT001050.2","-786.20","2770.0000"
"115","NONHSAT001062.2","-119.20"," 334.0000"
"116","NONHSAT001081.2","-1259.90","2762.0000"
"117","NONHSAT001084.2","-310.10"," 704.0000"
"118","NONHSAT001088.2","-318.10"," 848.0000"
"119","NONHSAT001092.2","-665.50","1720.0000"
"120","NONHSAT001093.2","-266.40"," 724.0000"
"121","NONHSAT001104.2","-1331.10","3390.0000"
"122","NONHSAT001116.2","-1238.30","3245.0000"
"123","NONHSAT001122.2","-365.10","1421.0000"
"124","NONHSAT001124.2","-139.80"," 344.0000"
"125","NONHSAT001126.2","-103.00"," 255.0000"
"126","NONHSAT001128.2","-1527.70","3069.0000"
"127","NONHSAT001137.2","-986.00","2482.0000"
"128","NONHSAT001139.2","-827.20","2415.0000"
"129","NONHSAT001143.2","-265.70"," 645.0000"
"130","NONHSAT001145.2","-258.10"," 652.0000"
"131","NONHSAT001154.2","-222.70"," 615.0000"
"132","NONHSAT001155.2","-231.70"," 573.0000"
"133","NONHSAT001157.2","-894.00","2173.0000"
"134","NONHSAT001158.2","-792.20","1966.0000"
"135","NONHSAT001159.2","-1160.90","2763.0000"
"136","NONHSAT001164.2","-900.90","1912.0000"
"137","NONHSAT001167.2","-195.70"," 456.0000"
"138","NONHSAT001174.2","-664.20","1397.0000"
"139","NONHSAT001175.2","-735.10","1586.0000"
"140","NONHSAT001176.2","-284.00"," 726.0000"
"141","NONHSAT001182.2","-1021.30","2413.0000"
"142","NONHSAT001183.2","-617.70","1474.0000"
"143","NONHSAT001184.2","-399.60"," 967.0000"
"144","NONHSAT001185.2","-116.20"," 313.0000"
"145","NONHSAT001209.2","-994.10","2520.0000"
"146","NONHSAT001212.2","-135.00"," 475.0000"
"147","NONHSAT001214.2","-91.10"," 364.0000"
"148","NONHSAT001215.2","-237.20"," 655.0000"
"149","NONHSAT001216.2","-119.20"," 419.0000"
"150","NONHSAT001217.2","-212.00"," 580.0000"
"151","NONHSAT001236.2","-1824.00","4676.0000"
"152","NONHSAT001266.2","-782.50","2167.0000"
"153","NONHSAT001270.2","-65.40"," 259.0000"
"154","NONHSAT001273.2","-1407.30","3402.0000"
"155","NONHSAT001281.2","-402.80","1347.0000"
"156","NONHSAT001282.2","-341.00","1082.0000"
"157","NONHSAT001301.2","-1055.90","2460.0000"
"158","NONHSAT001302.2","-723.70","2093.0000"
"159","NONHSAT001366.2","-360.70","1263.0000"
"160","NONHSAT001403.2","-827.10","2326.0000"
"161","NONHSAT001455.2","-186.80"," 615.0000"
"162","NONHSAT001457.2","-286.40","1016.0000"
"163","NONHSAT001460.2","-1634.50","4026.0000"
"164","NONHSAT001461.2","-334.10","1127.0000"
"165","NONHSAT001462.2","-335.70","1081.0000"
"166","NONHSAT001464.2","-373.40","1202.0000"
"167","NONHSAT001465.2","-336.10","1085.0000"
"168","NONHSAT001466.2","-292.40"," 866.0000"
"169","NONHSAT001467.2","-336.10","1082.0000"
"170","NONHSAT001470.2","-165.20"," 692.0000"
"171","NONHSAT001476.2","-606.10","1622.0000"
"172","NONHSAT001486.2","-82.00"," 273.0000"
"173","NONHSAT001501.2","-448.60","1698.0000"
"174","NONHSAT001528.2","-69.80"," 230.0000"
"175","NONHSAT001529.2","-143.10"," 444.0000"
"176","NONHSAT001544.2","-594.60","1916.0000"
"177","NONHSAT001575.2","-109.90"," 476.0000"
