,transcript_id,freeenergy,length
NM_001031,NM_001031,-135.9,401
NM_001199752,NM_001199752,-1166.1,2935
NM_001137601,NM_001137601,-1619.7,3546
NM_002133,NM_002133,-609,1606
NM_004345,NM_004345,-293.9,758
NM_001220,NM_001220,-1939.7,4586
NM_144646,NM_144646,-315.5,1413
NM_001301738,NM_001301738,-678.7,1795
NM_003047,NM_003047,-1811,4757
NM_024897,NM_024897,-983.9,2277
NM_001272107,NM_001272107,-944.9,2206
NM_001098519,NM_001098519,-807,2045
NM_001272104,NM_001272104,-858.1,2071
NM_001191003,NM_001191003,-334.2,1070
NM_001083590,NM_001083590,-1106.3,2929
NM_017727,NM_017727,-1165.5,3064
NM_001191002,NM_001191002,-327.9,918
NM_001272108,NM_001272108,-697.8,1696
NM_198406,NM_198406,-842.5,2029
NM_001300901,NM_001300901,-477.3,1740
NM_001272106,NM_001272106,-891.7,2037
NM_001272105,NM_001272105,-896.1,2143
NM_004832,NM_004832,-356.4,1017
NM_198179,NM_198179,-775.7,2347
NM_001039841,NM_001039841,-294,1045
NM_005794,NM_005794,-629,1692
NM_198705,NM_198705,-816.1,1717
NM_001256306,NM_001256306,-764.8,2840
NM_016029,NM_016029,-465.6,1404
NM_198707,NM_198707,-908.8,1897
NM_020905,NM_020905,-586.4,1602
NM_015510,NM_015510,-633.1,1841
NM_001282990,NM_001282990,-435.5,1078
NM_001277864,NM_001277864,-599.7,1442
NM_001256301,NM_001256301,-668.8,2774
NM_001286789,NM_001286789,-691.8,1952
NM_001282989,NM_001282989,-422,1057
NM_021004,NM_021004,-506.1,1315
NM_001304512,NM_001304512,-250.9,787
NM_001267868,NM_001267868,-978.3,2098
NM_001199771,NM_001199771,-547.9,1359
NM_001193635,NM_001193635,-557.7,1342
NM_016245,NM_016245,-473.6,1903
NM_001282988,NM_001282988,-477.3,1213
NM_001145971,NM_001145971,-835.8,1931
NM_032783,NM_032783,-879.7,3523
NM_145177,NM_145177,-855,2596
NM_016373,NM_016373,-876.7,2505
NM_178135,NM_178135,-634.4,2397
NM_001282987,NM_001282987,-443.2,1109
NM_031463,NM_031463,-1079,3668
NM_001236,NM_001236,-467.1,1128
NM_001193637,NM_001193637,-605.3,1462
NM_005525,NM_005525,-432.4,1477
NM_138412,NM_138412,-846.3,2023
NM_014234,NM_014234,-405.8,1002
NM_001267870,NM_001267870,-767,1625
NM_001146051,NM_001146051,-1026.8,3503
NM_001206741,NM_001206741,-424.4,1479
NM_172037,NM_172037,-1364,3981
NM_001304468,NM_001304468,-901.4,3428
NM_001256307,NM_001256307,-793.8,2937
NM_002153,NM_002153,-496,1451
NM_016371,NM_016371,-479.4,1537
NM_001256305,NM_001256305,-746.9,2803
NM_001304467,NM_001304467,-994.1,3687
NM_001289162,NM_001289162,-1131.3,3057
NM_199204,NM_199204,-563.8,1993
NM_198708,NM_198708,-880.9,1848
