transcript_id,freeenergy,length
NM_001031,-81,210
NM_001199752,-956.1,2412
NM_001137601,-576.9,1269
NM_004845,-303.7,1110
NM_002133,-335.7,867
NM_004345,-184.7,522
NM_147686,-561.7,1698
NM_001220,-775.2,2001
NM_003632,-1648.6,4155
NM_144646,-129,480
NM_001301738,-353.4,852
NM_003047,-924.4,2448
NM_024897,-461.3,1056
NM_001272107,-279.7,717
NM_001098519,-774.7,1971
NM_001272104,-406.9,1035
NM_001018111,-541.2,1677
NM_001191003,-192.6,642
NM_001083590,-738.2,1935
NM_005397,-509.2,1581
NM_017727,-793.9,2070
NM_001191002,-207.6,627
NM_001272108,-273.3,702
NM_198406,-406.9,1035
NM_001300901,-293.5,1077
NM_001272106,-370.4,852
NM_001272105,-400.7,1026
NM_004832,-235.7,726
NM_198179,-381.4,1296
NM_001039841,-215.9,804
NM_005794,-350,843
NM_198705,-298.3,618
NM_001256306,-181.3,597
NM_016029,-313.3,1020
NM_198707,-305.1,600
NM_002035,-314.8,999
NM_020905,-417.6,1011
NM_015510,-364.6,978
NM_001282990,-251,600
NM_001277864,-160.3,453
NM_001256301,-109.5,438
NM_001286789,-187.8,522
NM_001282989,-236.8,579
NM_021004,-325.7,837
NM_001304512,-159,468
NM_001267868,-458.5,1002
NM_001199771,-409,957
NM_000216,-689.2,2043
NM_001193635,-194,513
NM_016245,-237.1,903
NM_001282988,-296.7,735
NM_001145971,-404.8,996
NM_032783,-201.4,714
NM_145177,-361.9,993
NM_016373,-421.4,1245
NM_178135,-266,903
NM_001282987,-225.8,567
NM_031463,-307,993
NM_001236,-323.7,834
NM_001193637,-78.1,273
NM_005525,-267.9,879
NM_138412,-297.8,783
NM_014234,-326.2,786
NM_001267870,-287.9,615
NM_001146051,-259.4,828
NM_001206741,-267.9,879
NM_172037,-373.6,1026
NM_001304468,-113.3,477
NM_001256307,-109.5,438
NM_002153,-402.4,1164
NM_016371,-311.2,1026
NM_001256305,-138.7,432
NM_001304467,-183,642
NM_001289162,-975.3,2625
NM_199204,-282.2,960
NM_198708,-228.4,459
NM_024705,-241.1,729
NM_001282991,-202.5,477
NM_001267869,-228.4,459
NM_001270424,-323,954
NM_144683,-516.7,1134
NM_001136230,-227,795
NM_001757,-334.5,834
NM_012282,-204.5,429
NM_001291997,-303.3,906
NM_001142466,-475.3,1272
NM_133443,-640.5,1572
NM_052902,-1446.1,3267
NM_001305624,-143.1,594
NM_001743,-90.4,450
NM_001305625,-63.9,342
NM_001305626,-63.9,342
NM_001305629,-169.5,435
NM_017806,-473.3,888
NM_001024688,-459.3,2019
NM_147200,-568.4,1725
NM_024863,-127,648
NM_001006935,-127,648
NM_001006937,-127,648
NM_001305840,-127,648
NM_001305878,-709.7,2448
NM_016035,-346.4,798
NM_001305942,-123.4,303
NM_001270449,-227.9,735
NM_183415,-1056.9,3207
NM_001270450,-227.9,735
NM_130466,-1056.9,3207
NM_001270451,-227.9,735
NM_002240,-405.6,1272
NM_012141,-674.4,2664
NM_144778,-313.37,1104
NM_001286491,-322.9,1011
NM_001039938,-97.9,348
NM_032892,-561.3,1713
NM_206886,-798.31,3900
NM_001017364,-240.2,756
NM_005739,-737.2,2394
NM_153717,-1221.5,2979
NM_000716,-240.9,759
NM_001165993,-215.8,870
NM_001165994,-214.3,873
NM_018942,-614.4,1047
NM_001099433,-917.2,2496
NM_000320,-281.2,735
NM_002112,-717.6,1989
NM_000393,-1938.3,4500
NM_207038,-581.9,2049
NM_207036,-608.2,2121
NM_003205,-581.9,2049
NM_012068,-336.4,849
NM_001193646,-336.4,849
NM_025141,-232.8,666
NM_001007156,-623,1839
NM_002530,-904.6,2478
NM_004811,-406.8,1161
NM_001166226,-757.4,2883
NM_001012338,-919.9,2520
NM_001243101,-902.8,2454
NM_001004339,-660.8,2280
NM_024921,-439.2,1770
NM_001032283,-384.2,1365
NM_001128213,-396,1431
NM_001277053,-547.4,1518
NM_152528,-396,1431
NM_001032284,-304.1,1038
NM_003276,-655.3,2085
NM_152699,-674.7,2268
NM_001098817,-220.6,687
NM_005781,-1426.2,3117
NM_001010938,-1512.7,3261
NM_022073,-276.1,720
NM_017885,-176.3,417
NM_001002018,-176.3,417
NM_001242929,-700,1650
NM_004221,-203.1,567
NM_001288666,-149.5,360
NM_001012632,-203.1,567
NM_001012631,-203.1,567
NM_001012633,-122.3,396
NM_152531,-550.2,1182
NM_024947,-788.5,2988
NM_032446,-1232.3,3423
NM_003060,-630.8,1674
NM_001012634,-186.7,507
NM_001012718,-203.1,567
NM_138340,-387.6,1230
NM_139156,-973.8,2397
NM_001017995,-1063.1,2736
NM_003941,-435.6,1518
NM_000377,-595.37,1509
NM_001257360,-1097.1,2640
NM_152405,-1016.6,2967
